,GQAOA
0,653.9999999996962
1,655.9999999996993
2,650.999999999466
3,670.9999999994579
4,663.9999999996173
5,659.9999999996279
6,664.999999999516
7,658.9999999994186
8,661.9999999995354
9,672.9999999992705
