,GQAOA
0,363.9999999978539
1,381.999999999907
2,369.99999999989535
3,377.99999999764754
4,369.9999999997752
5,363.999999999928
6,373.9999999999215
7,367.9999999985195
8,371.99999999821154
9,363.9999999787406
