,GQAOA
0,319.99999999980133
1,320.999999999807
2,331.9999999997118
3,331.9999999998536
4,329.99999999976933
5,323.9999999998238
6,320.999999999824
7,324.99999999987284
8,331.9999999998051
9,335.9999999997894
