path,r_1,r_1_angles
graphs/new/nodes_12/depth_6//0.gml,0.9439019775723055,[ 2.95184494 -0.96488384 -0.43815891 -2.17323355 -3.00831501 -0.3948773  -0.61603342 -0.80646342  2.56204843 -1.49931135 -2.45980061 -0.45572138 -1.59045107  1.45964112  0.15464549 -1.45380641  2.08625936  1.45756286 -1.31970381  1.70959147]
graphs/new/nodes_12/depth_6//1.gml,0.9359493689337274,[-2.49347176 -1.4172323  -1.42441175  0.53043336 -1.59162756  2.08835614  1.81403619 -2.91196145  1.04830654  1.67443268  0.88289615  0.20750373 -1.20039667 -1.98979523 -1.99322519 -0.28555645  1.97567242 -1.73791398 -0.96993313  1.76856893]
graphs/new/nodes_12/depth_6//2.gml,0.9453278271187968,[-1.33819183  0.85132845 -1.08539621  3.29903848  1.30581904 -0.57229795  2.67032845 -2.24784098 -3.61420064  1.65258332  0.63847958 -0.51579806 -2.26155425  0.42784384  2.99340169  2.34440551  1.46801371  2.56185451 -1.3787038   0.96376157]
graphs/new/nodes_12/depth_6//3.gml,0.9829539900298396,[ 2.64855743  3.20947459 -2.40520195 -0.53701734  3.5943741   2.66402136 -2.62432009  1.11102855 -2.44664343 -1.18258119 -0.13719614  0.77111009 -1.73267699 -0.09495277 -2.71775552 -1.516942    2.12762083  1.85235937 -0.13866208  1.08875903]
graphs/new/nodes_12/depth_6//4.gml,0.9528098804780654,[-1.6412806   0.60705485 -0.15041169  2.95327457 -1.00445875  0.43582896  2.92349356  0.43014332 -2.47762345  1.05756965 -2.61591272  1.15760316 -1.90442809  1.2382595  -0.28129705  1.93422604 -0.33156337 -0.4064441  -1.06566452  3.23546667]
graphs/new/nodes_12/depth_6//5.gml,0.9448498107250578,[ 2.81983414 -1.91273692  1.73738735 -2.45568463  2.99324697  0.89055483  1.53764493  0.86251331 -0.53887367  0.27349861  2.70405858 -1.33183358  1.82170365  2.34404131 -1.53727936 -0.81221     2.23928907  0.66660274  1.56065148 -0.78533339]
graphs/new/nodes_12/depth_6//6.gml,0.9467956417875876,[-2.69944781  0.35410857 -0.09916973 -0.54192041  1.19588718  1.32552489 -2.25176965 -0.11730065 -0.94896838  1.78880552 -0.22645469  2.76299263  1.5362948   1.93424568  1.59071461  1.91404315  1.14791144  0.29387697  2.53941508 -1.38241341]
graphs/new/nodes_12/depth_6//7.gml,0.9411556121384421,[ 1.59053234  0.25770697  1.34060355  0.65375445 -0.45706379 -2.5985114   0.79293545  1.62287918 -1.43319151  1.09369339 -3.06624107 -0.94229632  0.71800605  1.28098243 -2.54309721 -1.96525171 -2.57335497 -1.69947866  2.50899933  1.73338167]
graphs/new/nodes_12/depth_6//8.gml,0.9610721220637598,[-3.36612523  1.62130753  2.82640443 -1.52662658  0.76172503 -2.1143728   0.43509009 -2.08858503  3.75963244 -1.10935618 -0.12222427  2.22065516 -2.47486212 -0.67579069 -2.88924652 -1.66446692 -0.3324454   0.43672337 -2.38459306 -1.71028403]
graphs/new/nodes_12/depth_6//9.gml,0.9462570111354317,[-0.33169993 -0.46088864 -2.9074163   2.7432845   0.56927975  0.04578767 -1.3003493  -0.37732017 -3.01650991 -2.21880186  1.21222592 -3.18961775  3.1912456  -1.64807377  1.22013731 -1.19379015 -0.63404575  1.81022936  2.45735932 -2.97366599]
graphs/new/nodes_12/depth_6//10.gml,0.9382216242651148,[ 1.62693117 -0.1208026  -1.44159488 -0.57424557 -2.8093897  -0.513326   -2.74926326  1.08425042  0.47001824 -0.1219998  -0.54311517  1.92380888  2.64762289  0.18585052  2.56995516  2.55329427  3.1738896  -2.4421309  -1.99126942 -0.06817431]
graphs/new/nodes_12/depth_6//11.gml,0.9709718312047132,[-1.63643483  1.77002604 -1.65136931 -2.49810757 -0.31139514  2.39022582  0.05893715 -3.82100626 -2.70602979  2.72230081  0.54280195  1.9538452   3.04882587  2.38605696 -2.64911404  0.70721667  3.0867465  -2.5411988  -2.58430291  1.44393738]
graphs/new/nodes_12/depth_6//12.gml,0.9371201892037039,[ 2.23271308 -3.23566537 -0.19139599  1.70601853 -1.95140567  2.82798089  0.56736047 -3.21387614 -0.82069105 -1.0744115   2.69456499  0.6294621  -3.69670324 -2.99750202  3.78837103 -1.94636854 -2.54066624  2.91701207 -2.61737168 -1.71753376]
