path,r_1,r_1_angles
graphs/new/nodes_12/depth_6//0.gml,0.894548311339966,[ 0.42526042 -4.3428547  -0.1110354  -0.60378359 -0.69501337  2.57843729 -3.02589553  0.91410421 -0.55314863 -1.39360147]
graphs/new/nodes_12/depth_6//1.gml,0.9308131700503751,[-2.89485134 -0.56006429 -1.1528422   0.35013019 -1.35820533  1.20962967  1.36050395 -3.40502839  2.35555249 -3.34950245]
graphs/new/nodes_12/depth_6//2.gml,0.8877662489883948,[ 1.97131302 -0.25054256  2.53136734 -2.40599427  0.16195375  2.69116712 -0.62793806 -0.39987054 -1.60057442  0.50403654]
graphs/new/nodes_12/depth_6//3.gml,0.8806484104031163,[-2.84522152 -2.09882222 -1.08245039  3.09189364 -0.24795782  3.1962354  -0.31173284  1.49628658  2.19862037  2.86893195]
graphs/new/nodes_12/depth_6//4.gml,0.925044450440683,[-2.7677338   0.33004548 -0.1595028  -1.00141455  0.60493706 -0.45739909 -2.56558222  1.20600228  0.59875494 -0.19439434]
graphs/new/nodes_12/depth_6//5.gml,0.9299830305484786,[ 0.21228538 -0.4734945   0.44329927 -2.02686987  0.42175951 -3.32547305  1.4365288  -3.0486162   1.21457067  1.7558996 ]
graphs/new/nodes_12/depth_6//6.gml,0.8635493970557314,[-1.93424942 -3.02884087  0.38682841 -1.24904442 -1.97140507 -2.86598711  1.39725863 -0.14260201  2.5224466   2.9100925 ]
graphs/new/nodes_12/depth_6//7.gml,0.892997821981636,[-0.36748326 -1.97079947  0.15711173  1.03123357  2.53744222  1.88464892  2.58821832  3.32830232  1.32612411 -0.07229714]
graphs/new/nodes_12/depth_6//8.gml,0.8329999454853538,[ 1.61669596 -1.03096737 -0.06904844  1.34245818 -1.94476072  0.13446314  0.84830691 -0.25365106 -0.91911853 -2.98392268]
graphs/new/nodes_12/depth_6//9.gml,0.8953470231883872,[ 0.28923008  2.56722359  2.3511318   1.46305629 -1.79565267  2.75368452 -2.41410512  2.98054046  1.18617845  0.12469572]
