path,p_1,p_1_angles,p_3,p_3_angles,start,p_2,p_2_angles
graphs/nodes_8/0.gml,0.8365375219511013,[ 0.23780968 -0.31013601],0.9017981915542124,[ 1.27892776  1.68923028  2.08427994  1.20454249  3.5515524  -0.22425647],[0.65],0.8365375219511013,[ 0.23780968 -0.31013601]
graphs/nodes_8/1.gml,0.8217982292543595,[ 0.26927515 -0.32440235],0.8910108103753949,[ 1.23267312  1.73098117  2.14092587  1.22067204  3.58793324 -0.21198524],[0.65],0.8772450527461009,[ 0.18684211 -0.42029545  0.42500188 -0.2282819 ]
graphs/nodes_8/10.gml,0.7432357856933078,[ 0.31139261 -0.35965746],0.737861694245271,[-1.29010967 -2.39502238 -2.63088303 -1.22729768 -3.88946886 -0.16226321],[0.65],0.8367708012008868,[ 0.25431033 -2.0391897   0.45137598 -0.29092836]
graphs/nodes_8/100.gml,0.7707926105523207,[ 0.33250449 -0.37104611],0.562499999999998,[-1.00086680e-08 -2.00173361e-08 -2.00173361e-08 -1.00086680e-08 -3.00260041e-08  0.00000000e+00],[0.65],0.8385649183986416,[-0.34595372 -1.30943214  0.75954718 -0.25045069]
graphs/nodes_8/1000.gml,0.792993588383697,[ 0.34018533 -0.35755144],0.8920912126284232,[-0.32578248 -1.10024226 -1.09722961 -1.43242975 -2.55483942  0.23850231],[0.65],0.830167766751152,[-0.4616239  -0.31316482  0.17669795 -0.88249665]
graphs/nodes_8/1001.gml,0.8691935286206487,[ 0.32698217 -0.3465773 ],0.9463395529552334,[ 0.28527148  1.22732878  2.29642386  1.70546082  1.43390096 -0.1635222 ],[0.65],0.9139762214352478,[-0.48142899 -0.33775336  0.18955627 -0.89420675]
graphs/nodes_8/1002.gml,0.8103174817327912,[ 0.26258161 -0.337876  ],0.6363636363636361,[3.94004340e-09 7.88008680e-09 7.88008680e-09 3.94004340e-09 1.18201302e-08 0.00000000e+00],[0.65],0.8634212270041729,[-0.37205146 -0.36408653  0.12483112 -0.8496851 ]
graphs/nodes_8/1003.gml,0.8282228436671211,[ 0.2708855  -0.33499818],0.8874953625415823,[ 0.19633829  1.12820561  1.46362495 -0.00578349  2.08930797 -0.24033829],[0.65],0.8874848053932534,[ 0.19622858 -0.44116194  0.4103336  -0.24047655]
graphs/nodes_8/1004.gml,0.8045836300652134,[ 0.36070195 -0.36150274],0.8792172861234009,[-0.26197177 -1.27690119 -0.67643049  0.21848217 -1.69735501 -0.28384665],[0.65],0.8593343120769719,[-0.5885875  -0.30059735  0.25922666 -0.93587723]
graphs/nodes_8/1005.gml,0.7661985687497881,[ 0.42053409 -0.39269927],0.8600140791622427,[ 0.33320969  1.0039256   1.83316134 -0.1266359   2.01465346 -0.30018597],[0.65],0.8471700322261648,[-0.66458371 -0.3276411   0.33397902 -2.48253425]
graphs/nodes_8/1006.gml,0.8071023738181005,[ 0.25282674 -0.31658669],0.905885703085574,[-1.27617734 -2.09968058 -1.64917869 -0.88610655 -2.4353044  -0.20215733],[0.65],0.8519220692856486,[ 1.90043304 -0.43129624 -0.09363556 -0.79485717]
graphs/nodes_8/1007.gml,0.8083391685345939,[ 0.25327467 -0.31391159],0.8206969908086377,[ 0.89423226  1.66125158  0.59784294  0.40626098  1.88519691 -0.33798208],[0.65],0.8639158340335975,[ 0.20167935 -0.40716537  0.45332204 -0.22488602]
graphs/nodes_8/1008.gml,0.7801539896780231,[ 0.28599499 -0.33798864],0.8554762897475153,[-0.22769017 -1.14549564 -1.30247187 -0.01441675 -2.26908556  0.26140099],[0.65],0.8553333055185465,[ 0.22693277 -0.42127873  0.4277265  -0.26098913]
graphs/nodes_8/1009.gml,0.7356194709340229,[ 0.30773267 -0.36166447],0.5499999999999955,[-1.22526474e-08 -2.45052949e-08 -2.45052949e-08 -1.22526474e-08 -3.67579423e-08  0.00000000e+00],[0.65],0.8073088285522761,[ 0.22916279 -0.49087566  0.43311763 -0.28182379]
graphs/nodes_8/101.gml,0.728890732662086,[ 0.37288466 -0.39269929],0.4999999999999966,[1.06632389e-08 2.13264778e-08 2.13264778e-08 1.06632389e-08 3.19897167e-08 0.00000000e+00],[0.65],0.8064314246122748,[-0.50261052 -0.34866067  0.23192388 -0.82710459]
graphs/nodes_8/1010.gml,0.7766758109182214,[ 0.33050912 -0.36564474],0.5624999999999957,[-1.52338576e-08 -3.04677153e-08 -3.04677153e-08 -1.52338576e-08 -4.57015729e-08  0.00000000e+00],[0.65],0.8314795576821378,[-0.45819295 -0.33134454  0.18480736 -0.85899058]
graphs/nodes_8/1011.gml,0.8183861845316489,[-0.29991963  0.3550094 ],0.6111111111111112,[4.16179501e-09 8.32359002e-09 8.32359002e-09 4.16179501e-09 1.24853850e-08 0.00000000e+00],[0.65],0.900073386922537,[ 0.25268542 -2.05999092  0.46730828 -0.27767846]
graphs/nodes_8/1012.gml,0.746982206298896,[ 0.31436541 -0.35590015],0.8610090622056644,[ 1.28810343  3.01487007  2.14104209  1.10390255  3.60251017 -0.31003287],[0.65],0.8518114720589032,[ 0.27207283 -0.48292025  0.47145232 -0.31089571]
graphs/nodes_8/1013.gml,0.80104001312042,[ 0.29532602 -0.34635461],0.8749622857189342,[-0.22524662 -1.11434706 -1.79850949 -0.02381303 -1.78959947  0.26094866],[0.65],0.8747081487070818,[ 0.22484769 -0.45395722  0.44467095 -0.26052785]
graphs/nodes_8/1014.gml,0.7996303466081984,[ 0.29499837 -0.3476542 ],0.8553001989094783,[ 0.39760827  0.36836768  1.0069217  -0.02149831  1.98642424 -0.72910249],[0.65],0.8726676219999009,[ 0.22093673 -0.46069662  0.43410991 -0.26484196]
graphs/nodes_8/1015.gml,0.8036507966989279,[ 0.29878945 -0.34725056],0.6111111111111114,[-1.54477705e-09 -3.08955410e-09 -3.08955410e-09 -1.54477705e-09 -4.63433116e-09  0.00000000e+00],[0.65],0.8844864782885556,[ 0.22644068 -0.46149487  0.43622555 -0.27388364]
graphs/nodes_8/1016.gml,0.8090386053429162,[ 0.30359674 -0.34329719],0.8159761854097705,[-0.12733798 -2.258922   -1.61271585 -0.93421599 -1.87762139  0.36633165],[0.65],0.8095190496415025,[ 0.30299283 -1.91450269  1.18036976  0.02563806]
graphs/nodes_8/1017.gml,0.8136575809431141,[ 0.22878293 -0.30618399],0.8536344754604382,[-0.1920203  -1.32640532 -1.32930541  0.13457927 -1.20548345 -0.19762082],[0.65],0.8136575809431141,[ 0.22878293 -0.30618399]
graphs/nodes_8/1018.gml,0.7535682727182099,[ 0.31450682 -0.3757327 ],0.5499999999999851,[-2.60637547e-08 -5.21275094e-08 -5.21275094e-08 -2.60637547e-08 -7.81912641e-08  0.00000000e+00],[0.65],0.8305220392375394,[-0.44714654 -0.34712976  0.19553856 -0.83678172]
graphs/nodes_8/1019.gml,0.826769906279379,[ 0.26958406 -0.33455839],0.8968865017775242,[ 0.20630433  1.10601925  0.40331505 -0.23162115  1.00603347  0.07992432],[0.65],0.8924760889642741,[ 0.20704344 -0.44039579  0.41671278 -0.25035884]
graphs/nodes_8/102.gml,0.704307464314811,[ 0.33142457 -0.39269912],0.5,[-3.64980133e-09 -7.29960266e-09 -7.29960266e-09 -3.64980133e-09 -1.09494040e-08  0.00000000e+00],[0.65],0.8118919008468325,[-0.44644382 -0.35835999  0.22123166 -0.78961576]
graphs/nodes_8/1020.gml,0.8180955757648454,[ 0.30648077 -0.33814535],0.8682787862212252,[ 2.04909793  1.47877312  0.77903078  1.79698805  3.83270915 -0.17237861],[0.65],0.8652315870638987,[ 0.21068771 -1.99279615  0.44903801 -0.20972003]
graphs/nodes_8/1021.gml,0.7825638492386819,[ 0.33142458 -0.3926991 ],0.8728658553125733,[-0.25249761 -1.04878942 -1.84444457  0.01154862 -1.73662966  0.29315456],[0.65],0.8407212947699555,[-0.31333336 -1.35704581  0.64858143 -0.28497414]
graphs/nodes_8/1022.gml,0.7439143523040889,[ 0.31104382 -0.35557266],0.5555555555555549,[-5.99236795e-09 -1.19847359e-08 -1.19847359e-08 -5.99236795e-09 -1.79771038e-08  0.00000000e+00],[0.65],0.8317122445169736,[ 0.25417455 -0.45737554  0.44460238 -0.27834373]
graphs/nodes_8/1023.gml,0.8224261294473895,[ 0.26937641 -0.32290794],0.8697504408049761,[-0.34297281 -1.99449942 -0.95515482 -1.54690522 -2.08605217  0.77966664],[0.65],0.8792748644633533,[ 0.19621846 -0.41957282  0.44098119 -0.22923276]
graphs/nodes_8/1024.gml,0.8173524707634969,[ 0.25974707 -0.32218823],0.8757009621318727,[-1.47423931 -2.18760201 -1.81510174 -1.18003414 -3.58966928  0.21171342],[0.65],0.8690707912669554,[ 0.19666449 -0.40679639  0.4261701  -0.21594509]
