path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/436.gml,[1.14811769 1.23356494],[-1.34035101  0.31637506 -0.45781942 -0.42177119],[ 1.14155617  1.29176122  0.62719321 -0.11280704  0.09325388  0.44284888],[-0.1410262   0.5482248   0.09450967  1.40461937 -1.48472596 -1.51028661  0.9154697  -1.3820088 ],[-0.1410262   0.5482248   0.09450967  1.40461937 -1.48472596 -1.51028661  0.9154697  -1.3820088   0.          0.        ],[ 1.13117006 -0.50685927 -0.74965272  1.10786865 -0.5382906   0.78719336 -0.36600491 -1.16387059  0.44945993 -0.89521199 -1.19470953  0.54609146],[-0.23499904  1.07128754  0.14567969  0.44323386  0.19539233  1.33943851 -1.22416984 -0.38519672  0.55139133 -0.25940032  1.06799477  1.28876289 -0.47772829  0.57660323],[ 1.3876485  -1.53332345 -1.46246357 -1.21302835  0.14903325 -0.83101269 -1.44739505  0.04742308  0.03844796  0.68734721 -0.14156039  1.33993117 -0.10251822 -0.49602829 -0.16798248 -1.44030998],0.7615545976909959,28,0.7793617197035947,87,0.7880632218254312,224,0.8979355476113746,507,0.8979355476113746,975
graphs/main/nodes_9/depth_3/437.gml,[-0.2887744   0.33425943],[ 1.54259633 -1.24519586  1.3083255   0.33145993],[ 1.30809314 -1.51144219 -1.42900954  0.2316224   0.39713916  1.38908531],[ 1.30809314 -1.51144219 -1.42900954  0.2316224   0.39713916  1.38908531  0.          0.        ],[ 1.36289988  1.10147742  0.04636747  0.55667684 -1.04719198 -0.15697746 -0.92410633 -1.58762125  0.29366739 -1.26468708],[ 1.26727936 -1.11093576 -1.03826148 -0.48734428 -0.65357505 -0.5566517  -1.09558017  0.02662907  0.06769732 -0.14567608 -0.98050624  0.19164438],[ 0.46826962 -1.36244286 -0.3196489   0.22168    -0.47724296  1.37089425  0.33706106 -1.28006424 -1.35732089  0.46256986 -0.13003245  0.29779384 -0.09978997 -1.4293956 ],[-0.78691868  1.56302654 -0.23081557 -0.67414972 -0.55994514  0.51198873 -0.35661931 -1.52079169 -1.19173429  0.71689769 -1.34537122  1.18043582  0.65891634 -0.29050862  1.47144238 -1.43287482],0.7664063239931382,40,0.7691509031013403,140,0.7941103180661255,190,0.7941103180661255,237,0.8225137955201584,653
graphs/main/nodes_9/depth_3/438.gml,[-1.39238454  0.455507  ],[-1.29746835 -0.16027052 -1.59819754 -0.40836616],[ 0.26585648 -0.1604558  -0.75697174 -1.36587632  1.24197641 -1.61829548],[ 0.17946036  1.14137099  0.31304243 -0.28341825 -0.09918366  0.04145769  1.13344858 -0.04515953],[ 0.19891568 -0.12337194  0.11153214 -0.02356111 -0.55276172  0.28239911  1.38294683 -1.67513164  1.41271953  0.23850957],[ 0.34536853  0.83864758 -1.27220512  0.76495906 -0.6108879  -0.64243263 -0.69452119  0.95582538  0.9646389   1.02188767  0.12343281 -1.43222287],[ 0.49267689 -0.11956603 -0.98355278  0.20495253  0.9799489   1.05888276 -1.28799753 -0.79788118  0.45898391 -1.00033329 -0.7512459   0.11870469  0.60663229  0.69662181],[-0.81457191 -1.18276944 -0.54388473  0.81872241  1.35010198  0.01082183  0.45895248 -0.0523739   0.85008357 -0.84166141  0.56893144 -1.53696308 -1.50799648  0.37927172 -1.09114566 -0.77126559],0.7828795588295606,30,0.8398213233361839,104,0.8620134893551927,239,0.914020276301991,476,0.934055286577975,1143
graphs/main/nodes_9/depth_3/439.gml,[ 0.35607621 -0.17723865],[ 0.35607621 -0.17723865  0.          0.        ],[ 0.81682806  1.55050761 -0.60923084  1.26342577  1.09081991 -1.45946735],[-1.40378503  0.01037144  1.1004669   0.2768764  -1.41951858  0.66140254 -0.25092958  0.15670761],[-1.40378503  0.01037144  1.1004669   0.2768764  -1.41951858  0.66140254 -0.25092958  0.15670761  0.          0.        ],[ 0.76580468 -0.05351899 -1.4274768   1.3782026  -1.02023308  0.06810072  1.51729829 -1.02597729 -0.22697738  0.79825855  0.77408714  0.42169708],[ 0.49928998 -0.45086883  1.30448362  1.05133478  1.34787394  0.80047192  0.2905355   0.4316551   1.0554304  -1.23613846 -0.76875701 -0.22087584 -0.07474983  0.17479451],[-1.3764475   0.35545679 -0.44104606  1.34963568 -1.31892502 -0.93754884 -1.01015623 -0.99429422 -1.23283788 -1.07629755  1.24520904  0.23109219  0.54466988 -0.68448559  0.7758762  -0.64654835],0.8331941557986902,38,0.8331941557986902,56,0.8847648295395635,217,0.9205932652398688,404,0.9205932652398688,298
graphs/main/nodes_9/depth_3/440.gml,[-0.19580145 -1.28102871],[-0.19580145 -1.28102871  0.          0.        ],[-0.19580145 -1.28102871  0.          0.          0.          0.        ],[-0.19580145 -1.28102871  0.          0.          0.          0.          0.          0.        ],[-0.19580145 -1.28102871  0.          0.          0.          0.          0.          0.          0.          0.        ],[-1.53766986 -0.30400028  0.41989521 -0.01923965  0.36943379  1.19557998 -0.8922325   1.51835789  0.04912254 -1.07030182  1.3809648  -0.15495004],[ 1.25251079 -1.52195882 -1.52125074  0.45177818  0.38062331  1.21501234 -0.50408153 -0.91428739 -1.4752104  -1.13082593 -1.05682192  0.7198789   0.86473234  0.79925868],[-0.05426607 -0.89922471  0.05418342  1.5426595  -0.84087636  0.66960038  0.99300855 -1.22290863  1.16348395 -1.26735839  0.89856593  0.81620748 -0.28778864 -0.53148163 -1.05464565 -0.46802891],0.8504869070612635,60,0.8504869070612635,77,0.8504869070612635,113,0.8504869070612635,369,0.8504869070612635,541
graphs/main/nodes_9/depth_3/441.gml,[0.35518581 1.16157765],[-1.40604278  1.2351178  -1.38419208 -0.30067094],[-0.23570573  0.3611185   1.14656701  1.66182176  0.90897695  1.4512793 ],[-0.23570573  0.3611185   1.14656701  1.66182176  0.90897695  1.4512793   0.          0.        ],[ 0.16934626  1.1743409   0.36456187  0.18157449  1.42691085  1.40514389 -1.55665664  1.44557462  0.17675858 -0.26139343],[-0.89298236  0.40279609 -0.41602294 -1.08480681  0.12505991 -0.42412923  0.48015856 -1.32695817 -0.8723903  -0.73290034 -0.03876257 -1.00321271],[-1.32078195 -0.32791932 -1.09826425 -0.13301604 -0.70722246 -1.25988779 -0.56513471 -0.62324473  0.36593233  0.83391693 -0.40958997  1.20650944 -0.32349227  0.08513008],[ 0.58265995  0.93471869 -0.59021271 -0.12867202 -0.19329912  0.78299022 -0.56860128  1.13798745 -0.79658995 -0.39640554 -0.26486018  0.61899974  1.25514514  1.24182106 -0.20503174 -0.7404519 ],0.8048451050902269,39,0.8330461571883515,119,0.8502492020194069,358,0.8502492020194069,349,0.8896153761247182,690
graphs/main/nodes_9/depth_3/442.gml,[ 0.23723324 -0.298462  ],[ 0.23381392 -0.28949664 -0.52144989  1.71564602],[-1.4902583  -0.29536098  1.17907355  1.12400243  0.0934403   0.82169408],[-1.4902583  -0.29536098  1.17907355  1.12400243  0.0934403   0.82169408  0.          0.        ],[ 1.46606465  1.59699734  0.15824419 -0.90136757  1.35957404 -1.08855978 -0.37099126  0.2651086   0.54806222  1.40831549],[-1.43383475  1.04642623  0.08627397  0.89819395  1.55636479  0.68805687  0.4648003   0.3413774  -1.42432632 -0.8318465  -1.32324658 -0.84210654],[ 1.39217547 -1.49344074 -0.22028903 -0.60174662 -0.10033575 -0.40081745 -1.16058478  0.96881415 -1.01140183  0.31807496  0.74900277 -1.43964237  0.06070277 -0.01388761],[-0.91887682 -0.89218168  1.30158654  1.48945849 -1.45049964 -0.39837141  0.86832318 -1.45345268 -0.2721962   0.40530307 -0.02012023 -0.25539108 -0.94166448  0.60240047 -0.33675945  1.02516377],0.7424733079613394,36,0.7637740779531121,183,0.788687150177376,222,0.788687150177376,669,0.8419778153537036,523
graphs/main/nodes_9/depth_3/443.gml,[-0.24217629 -1.30690366],[-0.21870164  0.40709293 -0.38884138  1.84144307],[-0.21870164  0.40709293 -0.38884138  1.84144307  0.          0.        ],[-0.21870164  0.40709293 -0.38884138  1.84144307  0.          0.          0.          0.        ],[-0.21870164  0.40709293 -0.38884138  1.84144307  0.          0.          0.          0.          0.          0.        ],[-0.54797341 -1.49486478 -1.33120352 -0.82161645 -0.66402401  0.52171778  0.53559953 -0.04044424  0.14726884 -0.30878166 -1.35774392 -0.78157149],[ 0.35131902  0.37408681  1.12640759  0.10627706  0.68837004  0.82977776 -0.01509234 -0.24411293 -0.69624592 -1.48688132 -1.4880216   0.01057509  0.7898896   0.5265978 ],[-0.17760463  0.87031751  1.50421327 -0.30440493  0.89502426  0.8972438  -1.30698531 -0.48154667  1.34896311  0.68152432  0.97617285  0.08093696 -0.12311916 -1.03918903  1.04123025  0.68814638],0.8312484240161209,44,0.8829328877073498,149,0.8829328877073498,252,0.8829328877073498,559,0.8829328877073498,431
graphs/main/nodes_9/depth_3/444.gml,[-0.17533962 -1.26778401],[-0.17533962 -1.26778401  0.          0.        ],[ 0.18840696  1.38163501 -0.41861788  0.30586791 -0.38736629  0.253673  ],[ 0.18840696  1.38163501 -0.41861788  0.30586791 -0.38736629  0.253673    0.          0.        ],[ 0.89835224 -0.02771656 -1.03300413  1.70217584 -0.05479264  0.32913341 -0.40264236  1.03647452  0.06314473 -0.70005611],[ 0.22482666 -1.39962876  1.49697957  0.86666707  1.23096263 -0.10019674  1.2966764   1.40017562  1.20997738 -0.34171229 -0.44172791 -1.085003  ],[-1.32600294 -1.10976206  0.6694636  -1.44630387 -0.37476273 -1.28267414 -1.1037531  -0.68838642 -0.60866895  1.11170675 -1.41784004  0.18416052  0.46270467 -0.48187506],[ 1.18730776  0.69238376  0.6913084  -0.45118076  0.34042216 -0.70455884  1.38066927 -0.22154241 -1.35216364  1.45581497  1.37639199 -0.59341538  0.274124   -1.0304813   0.83312993 -0.13917574],0.7771163740674155,24,0.7771163740674155,83,0.8696710853746124,483,0.8696710853746124,418,0.8764762865029312,839
graphs/main/nodes_9/depth_3/445.gml,[-0.23836039 -1.20673803],[-0.23836039 -1.20673803  0.          0.        ],[-0.23836039 -1.20673803  0.          0.          0.          0.        ],[ 0.26989582 -0.12416455 -0.48982001 -1.19953276 -0.36924471 -1.30570116 -1.54802169 -0.01823101],[ 0.26989582 -0.12416455 -0.48982001 -1.19953276 -0.36924471 -1.30570116 -1.54802169 -0.01823101  0.          0.        ],[ 0.15676649  0.24348732 -1.18757134  0.8379804  -0.59230977  1.29927167  0.14870277 -1.38877941 -1.32168666  0.19516381  0.70454291  1.03474518],[-1.52928455 -1.11467326  0.43993911  0.67225777  1.08371902 -0.71460472 -1.47474476 -0.73424894 -1.15094889  1.35095203 -0.48982806  1.46977087 -1.39678251 -0.40473458],[ 0.71443461 -0.65089498  1.36073846 -1.44654855  0.29080476 -0.49870189 -1.08582702  0.47830055 -1.27969626 -0.01530216  0.59188506 -1.03273012  1.10189015 -1.2362289   0.02105992 -0.97894137],0.8002656581829909,23,0.8002656581829909,75,0.8002656581829909,235,0.9115227711541748,512,0.9115227711541748,697
