path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/393.gml,[-1.34756159 -0.42610981],[ 1.2133958   1.55156821 -1.00488197  1.32981283],[-0.21980584  1.55655903  0.07247302  0.43143009 -0.35395817  0.22561081],[-0.21980584  1.55655903  0.07247302  0.43143009 -0.35395817  0.22561081  0.          0.        ],[-0.22516925  1.27722836 -0.70547498  0.00583657  0.77000023 -0.81292352 -0.43839273 -1.3989032   0.73099262  1.4772221 ],[ 0.53527051 -0.81987087  0.50923044  0.34649748 -0.78759682  0.245682    0.48820218  0.03818364  1.43026067  0.34029845 -0.96557215  0.62720647],[ 0.3869702  -0.95978512 -0.43686816  0.33868219 -0.98885937 -1.31258746 -0.30944128  1.18206467  1.40160195 -0.99098905 -0.6921174   0.47336998  0.12337227 -1.31309399],[-0.81944679 -0.20396444 -1.0886894  -0.89862929 -0.79647919 -1.28519446 -0.64862371 -0.1609011  -1.26694642  1.41576911 -0.24296066  0.30857022  0.65125296 -0.03503346 -0.63334313 -0.98039082],0.7808629246416355,45,0.8756103606019092,101,0.9264922392342436,389,0.9264922392342436,269,0.9459404355945144,995
graphs/main/nodes_9/depth_3/394.gml,[0.40558381 1.26830426],[1.57841142 0.49880032 1.36924019 0.29652965],[-1.06498051 -1.57806295  0.70695809 -0.09191425  0.13465168  0.29986592],[-1.06498051 -1.57806295  0.70695809 -0.09191425  0.13465168  0.29986592  0.          0.        ],[-0.11487157 -0.85630892  1.42372747  0.22886175 -1.37742465 -0.53396698 -1.49574255  0.17276979  1.39249775  0.19920979],[ 0.41321792  0.39933601  1.12158462 -0.02227812  0.41745058  0.56861102  1.34970188  1.35456418  1.11178976 -0.17468674  0.60615289  1.02184105],[-0.19278553  1.17404809 -1.31457713 -1.43434017  1.1868275   0.30523009 -1.23750121  0.80987898  0.96053937 -0.86887409 -0.52581407  0.0512406  -0.42013029  0.77174977],[ 0.98048019  1.29260087 -1.06513878 -0.31056016  1.25389327  0.44914077  0.19197466  1.08264011 -0.47328812 -0.12429906  0.78060789 -0.82587284 -0.71917864 -1.2075954  -0.80413813 -1.09790789],0.7868017657872605,38,0.8502080229683429,110,0.8536883778338905,118,0.8536883778338905,312,0.8703570978811206,550
graphs/main/nodes_9/depth_3/395.gml,[1.40102093 0.32017589],[-1.48082063 -0.02839899  0.10484927 -0.40930841],[-0.23469019 -1.25294274  1.593454   -0.84926026 -0.00871609  0.78120504],[-0.23469019 -1.25294274  1.593454   -0.84926026 -0.00871609  0.78120504  0.          0.        ],[-0.28746866 -0.34828828  1.15960528  1.5596565  -1.07727412  0.82460663 -0.38641188 -1.30802707 -0.40570439 -1.39795187],[ 0.72973375  1.2987019   0.77825116 -0.28192298  1.03399486  0.12761311  0.68352472  0.17413159 -1.35011705 -0.71088716  0.84664875  0.97806887],[-0.47811277  0.00736994  0.48985904 -0.97625891  0.10419546 -1.03904365  0.62427496  0.15336502  1.47573788 -0.40668284 -1.53961652 -1.00353637 -0.96779632  1.35965772],[-1.49627459  0.81014378  0.92219958  0.81912339  0.36047406 -0.59764933 -0.8209259   0.78388818  0.21193452 -0.22679089 -0.62908184  0.70035875  0.07765184 -1.18635315 -1.15060459  1.11769423],0.6974777460396012,45,0.7005093213866224,186,0.8055178364816572,229,0.8055178364816572,292,0.9142722108341164,556
graphs/main/nodes_9/depth_3/396.gml,[-0.51205658 -1.18314975],[ 0.14688902  1.30885182 -0.42192808 -1.38932324],[ 0.14688902  1.30885182 -0.42192808 -1.38932324  0.          0.        ],[ 0.90719042 -1.55308248 -0.69686185  0.72191867  1.40672326 -0.01772192 -1.47837698  0.51430861],[-0.76136872  0.03518924  0.58942804  0.61439468 -0.15609363  0.26487753  0.17953923 -0.50323289 -0.12644673  1.74840343],[ 0.91030749 -0.44682624  1.04833034  1.49212209  0.25092654 -0.93914031  0.78644288 -0.47791241 -1.15534846 -1.43669226  0.39716439  1.02337473],[-0.92749047 -0.31752374  1.3705647  -0.92781568 -0.71778943  1.10516187 -1.49747176 -0.39754311  0.64026738 -0.33450859 -1.01243675  1.14851947 -0.37415892 -0.96228406],[ 0.70491911  1.44181652  0.40539676  1.53086309 -0.02027485 -0.02245217 -1.12672235  0.74980533 -0.62775877  0.4636597  -1.01045762 -1.03949607 -1.01222374  1.23259748 -0.50281919  1.3842841 ],0.7408985331959163,28,0.8760963552598517,113,0.8760963552598517,265,0.8771317032881565,369,0.9059088609402576,436
graphs/main/nodes_9/depth_3/397.gml,[ 1.19489596 -0.41161889],[ 0.16528527  0.86679197 -0.10780619 -1.23238798],[ 0.16528527  0.86679197 -0.10780619 -1.23238798  0.          0.        ],[ 1.4668312  -1.70343752  1.49762101 -1.15186926 -1.51443618  0.07529629  1.13470775  0.23004443],[ 0.19281688  1.40983668 -0.60206472 -0.19877889  0.10079543 -1.03288114 -1.6351226  -0.01411328  1.24728285 -1.35558116],[ 0.23077921  1.27133984  1.14943377  0.40897292 -0.13331454 -0.1472912  -0.54169078 -0.51866606 -0.81799202 -1.38502668  0.50099991  0.24698489],[ 0.54209721  0.01189678 -0.29930513  0.92819822 -0.48905497  0.68921594  0.13810839  1.1442343   1.52754317  0.35277466  1.189927   -0.46481468 -0.98184158 -1.20107101],[-1.03933392  0.01253642 -1.38389544 -0.98237003  1.16354098 -1.37099235  0.30475334  1.24505148 -1.40958785  0.30328017  1.43309803  1.04969378  1.42574397  0.82994724 -0.07226572  0.18480568],0.7253375119787887,37,0.8142256136153507,76,0.8142256136153507,122,0.8486208532046732,418,0.8853289555689945,399
graphs/main/nodes_9/depth_3/398.gml,[-0.1954956  -1.29189839],[-0.20894915 -1.27677355 -0.60855035  0.13956729],[-0.20894915 -1.27677355 -0.60855035  0.13956729  0.          0.        ],[-1.51527898 -1.12398453 -1.3939655   1.34756381 -1.75006905 -0.11998753  1.07135833  1.74477745],[-1.51527898 -1.12398453 -1.3939655   1.34756381 -1.75006905 -0.11998753  1.07135833  1.74477745  0.          0.        ],[ 0.549967    1.05246448 -0.31716678  0.03297561 -0.07228081  0.40667742  0.57685264  0.53936091  0.35255145  0.13521876  1.30236439 -1.23600623],[ 1.25226514 -0.80448445  0.02014627  0.96910194  0.84296549 -0.90345796 -0.5702709  -0.69543536 -1.1359787   1.05410132 -0.78214313  0.75410497 -1.13391619  0.75244859],[ 0.0457868   0.47253332  1.35702948 -0.49847832  0.23150863 -1.28031291 -0.75422705  0.60448649 -1.14800714 -0.75377753 -0.49226603  1.28501811 -0.59976016 -0.15825178 -1.47327201  1.17709934],0.8811453927057568,30,0.9109412876904346,77,0.9109412876904346,283,0.915768176146426,421,0.915768176146426,425
graphs/main/nodes_9/depth_3/399.gml,[0.24298976 1.20399577],[-0.28726193 -1.42000234  0.56525892  1.25194722],[ 1.48658022  0.3282201   1.18537886  1.30353833  0.15912925 -0.93641302],[ 1.48334398  0.95771694  0.06234092 -0.63873361 -1.09151153  0.31051598 -0.14112865  0.90886907],[ 1.48334398  0.95771694  0.06234092 -0.63873361 -1.09151153  0.31051598 -0.14112865  0.90886907  0.          0.        ],[-1.02443622  0.74927337 -0.85107922 -0.24693174  0.57340961  1.44905925 -0.90559853  1.56955937  0.49299569  0.26175281  0.79124147  0.1654215 ],[-3.18933998e-01  9.23740851e-04 -5.11435920e-01 -1.88295118e-01  9.78243832e-01  6.98626024e-01  1.29112764e+00  9.45101188e-02 -1.15444824e+00 -1.55239984e-02 -3.67620339e-01  1.10724850e+00 -9.02619034e-01 -1.49271533e+00],[ 1.19307177  0.64636793 -1.40061345 -1.45442894  1.03491266  0.6844409  -1.38788333 -1.2087135  -0.57538955  0.55878597 -0.10268881  1.42745166  1.45414681  0.43518466  1.00241259 -0.8417267 ],0.7736459907569391,38,0.8331728096718481,77,0.8564484021248949,327,0.8668477595174748,407,0.8668477595174748,484
graphs/main/nodes_9/depth_3/400.gml,[-0.29065077 -1.15184801],[-0.2012509   0.37475975  0.25797492 -0.10072156],[-0.2012509   0.37475975  0.25797492 -0.10072156  0.          0.        ],[ 0.42661921 -1.36243735 -0.7887025   1.60993216 -1.56671654  1.59977956 -0.95147903 -0.52506615],[-1.2523478  -0.08802621 -0.29073652  1.36240215  0.09508845 -0.38707872 -1.19667996  0.16837679 -0.2054181  -0.4818462 ],[ 1.37695222 -0.86776594  0.62766981 -0.82874292  0.36283639  0.53995631  0.16980802 -0.80747259 -0.60153459  0.66313663 -1.52427654  1.31848905],[-0.04709266  1.29270541  0.08591773  0.20321125 -0.36769518 -0.0844981   0.90602083 -0.3222481  -0.31339258 -1.06466052  0.09766222 -1.1868736   0.11545254 -0.2733772 ],[ 0.57129917 -0.33453586  0.33894472  0.29785037 -0.62774137 -0.65610146  1.56994222 -1.13720872  0.92051488 -0.95543111 -0.04147458 -0.94036089  1.00149889 -0.50152865  0.82815125 -1.33097304],0.807568946697239,25,0.8496724089588775,92,0.8496724089588775,150,0.8836123610628349,442,0.885023998086609,576
graphs/main/nodes_9/depth_3/401.gml,[1.33297624 0.32924893],[1.33297624 0.32924893 0.         0.        ],[ 0.79905757  0.1155319  -0.02820914 -0.13635993 -0.57413862  1.29587842],[ 1.61298711  1.21769774 -1.34773619  1.37168485 -1.5223292  -1.46600666  0.91542282  0.16248338],[ 1.61298711  1.21769774 -1.34773619  1.37168485 -1.5223292  -1.46600666  0.91542282  0.16248338  0.          0.        ],[-0.66933827 -0.41019    -1.4490032  -0.6949026   1.36207886 -1.07446559  0.28925394  0.11225648 -1.51341206 -0.50105678  1.3665962   1.21839078],[-1.43076594 -1.55581451 -0.54591863  0.01954279 -1.46833235 -0.65106579  1.13113399  0.20903954  0.5245266  -0.27096555  0.52308818 -1.28183155 -0.95643187 -1.43256159],[-0.12636417  0.98920991  0.96648636 -0.0416428   0.0515361   0.35878273  1.14909855  0.75169733  0.38351774  1.39692725 -0.04760469  1.18731687  0.3005191   1.26861488 -0.42011693  1.39970014],0.8768519101208683,47,0.8768519101208683,56,0.902687582581344,138,0.9371424523391954,409,0.9371424523391954,905
graphs/main/nodes_9/depth_3/402.gml,[-1.31695305  1.19154106],[-0.15816634 -1.1728693  -0.32288989 -1.32066654],[-0.15379589 -1.1870062  -0.32055551 -1.2791431  -0.27871218  0.14545311],[-0.15379589 -1.1870062  -0.32055551 -1.2791431  -0.27871218  0.14545311  0.          0.        ],[-0.15379589 -1.1870062  -0.32055551 -1.2791431  -0.27871218  0.14545311  0.          0.          0.          0.        ],[ 1.46375715 -1.54022681  0.88946923 -0.78975677  0.48808848 -0.19667197 -0.616003   -0.11501283  0.79738302  0.70008172  0.0677582   0.46005423],[ 1.03395286 -0.9925374   0.66996261 -1.49962598  1.41938037 -0.9422346   0.23966403  0.31856369 -0.37326331  1.32663718  0.38275077  0.44004439 -0.2856833   0.56927827],[ 0.24071176  0.81325129 -0.56388721  0.31282208 -1.25181094  0.03211405  0.13656865  0.40592636 -0.06036554 -0.42903367  1.11535083  0.26583867  0.4302101   0.99363752 -0.56918307 -0.70104732],0.7643492868073098,32,0.9121855912786672,116,0.9358836458629448,158,0.9358836458629448,185,0.9358836458629448,621
