,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_11/depth_3//0.gml,0.671503195011951,[ 1.72751123 -0.46683491],43.0,0.7733486889522566,[-2.93132968  1.26697814],45,0.7733486889522899,[2.93132967 0.30381833],42,0.7733486889522899,[2.93132967 0.30381833],78,0.7733486889522899,[2.93132967 0.30381833],33,0.7733486889522899,[2.93132967 0.30381833],51,0.7733486889522899,[2.93132967 0.30381833],30,0.7733486889522899,[2.93132967 0.30381833],51,0.7733486889522899,[2.93132967 0.30381833],33,0.7733486889522899,[2.93132967 0.30381833],36
graphs/new/nodes_11/depth_3//1.gml,0.7512346596211692,[-1.80328706  2.61798565],38.0,0.8456000374019738,[ 2.95443309 -1.28562581],33,0.8456000374019738,[ 2.95443309 -1.28562581],36,0.8456000374019738,[ 2.95443309 -1.28562581],30,0.8456000374019738,[ 2.95443309 -1.28562581],39,0.8456000374019738,[ 2.95443309 -1.28562581],30,0.8456000374019754,[-0.18715954  1.85596685],39,0.8456000374019754,[-0.18715954  1.85596685],39,0.8456000374019754,[-0.18715954  1.85596685],30,0.8456000374019754,[-0.18715954  1.85596685],48
graphs/new/nodes_11/depth_3//2.gml,0.7625093457551209,[-1.37133034 -0.98919787],54.0,0.7625093602634457,[-1.3714148  -0.98912758],42,0.7625093602634476,[1.77017785 2.15246551],117,0.7625093602634476,[1.77017785 2.15246551],45,0.7625093602634487,[ 1.7701778  -0.98912756],36,0.8181901890710327,[0.16346561 1.30728447],45,0.8181901890710327,[0.16346561 1.30728447],18,0.8181901890710445,[ 2.978127   -1.30728441],57,0.8181901890710445,[ 2.978127   -1.30728441],51,0.8181901890710445,[ 2.978127   -1.30728441],30
graphs/new/nodes_11/depth_3//3.gml,0.836705588483824,[-0.18843893  0.29178584],34.0,0.836705588483824,[-0.18843893  0.29178584],18,0.836705588483824,[-0.18843893  0.29178584],27,0.836705588483824,[-0.18843893  0.29178584],30,0.8367056181657229,[-0.18832937  0.29184437],42,0.8367056181657229,[-0.18832937  0.29184437],30,0.8367056181657367,[2.95326321 0.2918443 ],99,0.8367056181657367,[2.95326321 0.2918443 ],27,0.8367056181657367,[2.95326321 0.2918443 ],21,0.8367056181657367,[2.95326321 0.2918443 ],45
graphs/new/nodes_11/depth_3//4.gml,0.7457185548104249,[-1.77846949 -0.38325905],39.0,0.8418206153637787,[-2.96174216  2.85914041],42,0.8418206153637787,[-2.96174216  2.85914041],69,0.8418206153637787,[-2.96174216  2.85914041],36,0.8418206153637904,[ 0.17985056 -3.42404497],296,0.8418206153637904,[ 0.17985056 -3.42404497],57,0.8418206153637904,[ 0.17985056 -3.42404497],33,0.8418206153637904,[ 0.17985056 -3.42404497],72,0.8418206153637904,[ 0.17985056 -3.42404497],27,0.8418206153637904,[ 0.17985056 -3.42404497],33
graphs/new/nodes_11/depth_3//5.gml,0.7987564485550579,[-2.94337664  2.83243489],33.0,0.7987564549809132,[ 2.94332672 -1.26166763],72,0.7987564549809132,[ 2.94332672 -1.26166763],18,0.7987564549809132,[ 2.94332672 -1.26166763],63,0.7987564549809144,[-0.19826586  3.45072139],60,0.7987564549809144,[-0.19826586  3.45072139],42,0.7987564549809144,[-0.19826586  3.45072139],54,0.7987564549809144,[-0.19826586  3.45072139],63,0.7987564549809144,[-0.19826586  3.45072139],30,0.7987564549809144,[-0.19826586  3.45072139],30
graphs/new/nodes_11/depth_3//6.gml,0.8100888824838958,[-1.7815368   2.75148583],35.0,0.8471924534869124,[-3.33034536  0.28822925],36,0.8471924534869124,[-3.33034536  0.28822925],36,0.8471924534869124,[-3.33034536  0.28822925],87,0.8471924534869124,[-3.33034536  0.28822925],48,0.8471924534869124,[-3.33034536  0.28822925],15,0.8471924534869124,[-3.33034536  0.28822925],33,0.8471924534869124,[-3.33034536  0.28822925],21,0.8471924534869124,[-3.33034536  0.28822925],72,0.8471924534869124,[-3.33034536  0.28822925],27
graphs/new/nodes_11/depth_3//7.gml,0.8248198292510285,[-0.18527542  0.29202219],30.0,0.824819842737198,[2.95624848 0.29204585],36,0.824819842737198,[0.18534418 1.2787505 ],39,0.824819842737198,[0.18534418 1.2787505 ],42,0.824819842737198,[0.18534418 1.2787505 ],57,0.824819842737198,[0.18534418 1.2787505 ],75,0.824819842737198,[0.18534418 1.2787505 ],36,0.824819842737198,[0.18534418 1.2787505 ],33,0.824819842737198,[0.18534418 1.2787505 ],33,0.824819842737198,[0.18534418 1.2787505 ],60
graphs/new/nodes_11/depth_3//8.gml,0.8137402305289856,[-1.75805115  2.82173628],31.0,0.8137402422626834,[-1.38348022  3.46138612],27,0.8137402422626834,[-1.38348022  3.46138612],18,0.8137402422626834,[-1.38348022  3.46138612],27,0.8180057452152916,[-0.17421151 -2.86103143],51,0.8180057452152916,[-0.17421151 -2.86103143],21,0.8180057452152916,[-0.17421151 -2.86103143],18,0.8180057452152916,[-0.17421151 -2.86103143],48,0.8180057452152916,[-0.17421151 -2.86103143],30,0.8180057452152916,[-0.17421151 -2.86103143],42
graphs/new/nodes_11/depth_3//9.gml,0.8474167911647098,[ 2.95217688 -2.85363055],36.0,0.8474168163014215,[-0.18933755  1.85869373],33,0.8474168163014215,[-0.18933755  1.85869373],30,0.8474168163014215,[-0.18933755  1.85869373],24,0.8474168163014215,[-0.18933755  1.85869373],57,0.8474168163014215,[-0.18933755  1.85869373],36,0.8474168163014215,[-0.18933755  1.85869373],57,0.8474168163014215,[-0.18933755  1.85869373],36,0.8474168163014215,[-0.18933755  1.85869373],30,0.8474168163014215,[-0.18933755  1.85869373],39
graphs/new/nodes_11/depth_3//10.gml,0.681142639832875,[-1.33895374 -2.75789867],40.0,0.7419644128532833,[-2.9252598  -0.33332754],24,0.7419644128532833,[-0.21633284 -2.80826511],30,0.7419644128532833,[-0.21633284 -2.80826511],18,0.7419644128532833,[-0.21633284 -2.80826511],24,0.7419644128532833,[-0.21633284 -2.80826511],48,0.7419644128532833,[-0.21633284 -2.80826511],36,0.7419644128532833,[-0.21633284 -2.80826511],51,0.7419644128532833,[-0.21633284 -2.80826511],39,0.7419644128532833,[-0.21633284 -2.80826511],33
graphs/new/nodes_11/depth_3//11.gml,0.6931818176445629,[-0.78544767 -2.74894693],37.0,0.8012901133338768,[2.94769405 0.29711928],93,0.8012901133338768,[2.94769405 0.29711928],30,0.8012901133338768,[2.94769405 0.29711928],36,0.8012901133338768,[2.94769405 0.29711928],27,0.8012901133338928,[-0.1938985   0.29711926],45,0.8012901133338928,[-0.1938985   0.29711926],60,0.8012901133338928,[-0.1938985   0.29711926],36,0.8012901133338928,[-0.1938985   0.29711926],63,0.8012901133338928,[-0.1938985   0.29711926],60
graphs/new/nodes_11/depth_3//12.gml,0.7470283746362543,[-1.38213284  2.06198325],44.0,0.8249715055190725,[0.17428712 1.29631066],99,0.8249715055190725,[0.17428712 1.29631066],30,0.8249715055190725,[0.17428712 1.29631066],30,0.8249715055190725,[0.17428712 1.29631066],21,0.8249715055190725,[0.17428712 1.29631066],21,0.8249715055190725,[0.17428712 1.29631066],39,0.8249715055190725,[0.17428712 1.29631066],24,0.8249715055190725,[0.17428712 1.29631066],36,0.8249715055190725,[0.17428712 1.29631066],42
graphs/new/nodes_11/depth_3//13.gml,0.8732492916405566,[-2.96458641  2.86591272],36.0,0.8732492916405566,[-2.96458641  2.86591272],33,0.8732492916405566,[-2.96458641  2.86591272],69,0.8732493103624914,[-2.96450252  2.86589595],45,0.8732493103624914,[-2.96450252  2.86589595],42,0.8732493103624914,[-2.96450252  2.86589595],114,0.8732493103624914,[-2.96450252  2.86589595],39,0.8732493103624914,[-2.96450252  2.86589595],48,0.8732493103624916,[0.17709012 1.29509957],57,0.8732493103624916,[0.17709012 1.29509957],90
graphs/new/nodes_11/depth_3//14.gml,0.7169298566297371,[ 1.22014036 -1.92615752],39.0,0.7169298598309295,[ 4.36181849 -1.92628685],24,0.7169298598309295,[ 4.36181849 -1.92628685],30,0.7169298598309295,[ 4.36181849 -1.92628685],18,0.7169298598309295,[ 4.36181849 -1.92628685],27,0.7169298598310309,[1.9213675  1.92628589],30,0.8300814904234245,[-2.94497127  1.2701038 ],96,0.8300814904234245,[-2.94497127  1.2701038 ],27,0.8300814904234245,[-2.94497127  1.2701038 ],27,0.8300814904234245,[-2.94497127  1.2701038 ],33
graphs/new/nodes_11/depth_3//15.gml,0.7261880237052158,[-1.24686879  2.78237479],34.0,0.8282888542544062,[2.92209084 0.32081503],36,0.8282888542544175,[-15.92746512   1.89161136],81,0.8282888542544186,[-0.21950191  0.320815  ],33,0.8282888542544186,[-0.21950191  0.320815  ],36,0.8282888542544186,[-0.21950191  0.320815  ],45,0.8282888542544186,[-0.21950191  0.320815  ],42,0.8282888542544186,[-0.21950191  0.320815  ],33,0.8282888542544186,[-0.21950191  0.320815  ],63,0.8282888542544186,[-0.21950191  0.320815  ],63
graphs/new/nodes_11/depth_3//16.gml,0.7624604770872269,[ 1.34781396 -2.16616238],39.0,0.7624604963740378,[-4.93550439  0.97537617],60,0.7624604963740378,[-4.93550439  0.97537617],36,0.7624604963740378,[-4.93550439  0.97537617],54,0.7624604963740378,[-4.93550439  0.97537617],39,0.7624604963740378,[-4.93550439  0.97537617],39,0.7624604963740378,[-4.93550439  0.97537617],36,0.7624604963740378,[-4.93550439  0.97537617],39,0.8318417042850818,[ 0.16799587 -1.83935625],60,0.8318417042851004,[ 2.97359686 -7.58542175],111
graphs/new/nodes_11/depth_3//17.gml,0.7841840015403924,[1.33429126 0.47530791],41.0,0.8369538849167608,[-2.95266021 -0.29169681],66,0.8369538849167693,[-0.18893257 -1.27909958],33,0.8369538849167693,[-0.18893257 -1.27909958],30,0.8369538849167693,[-0.18893257 -1.27909958],30,0.8369538849167693,[-0.18893257 -1.27909958],102,0.8369538849167693,[-0.18893257 -1.27909958],63,0.8369538849167693,[-0.18893257 -1.27909958],66,0.8369538849167693,[-0.18893257 -1.27909958],45,0.8369538849167693,[-0.18893257 -1.27909958],36
graphs/new/nodes_11/depth_3//18.gml,0.8417070622695197,[-2.96206928 -1.85339939],39.0,0.8417070622695197,[-2.96206928 -1.85339939],30,0.8417070622695197,[-2.96206928 -1.85339939],30,0.8417070622695197,[-2.96206928 -1.85339939],48,0.8417071149820817,[-0.17966481 -1.28816714],63,0.8417071149820817,[-0.17966481 -1.28816714],12,0.8417071149820817,[-0.17966481 -1.28816714],36,0.8417071149820817,[2.96192786 1.85342549],33,0.8417071149820817,[2.96192786 1.85342549],12,0.8417071149820817,[2.96192786 1.85342549],42
graphs/new/nodes_11/depth_3//19.gml,0.844229985978692,[2.96062849 0.28617933],43.0,0.8442299948774119,[0.18102194 2.85540345],36,0.8442299948774119,[0.18102194 2.85540345],81,0.8442299948774119,[0.18102194 2.85540345],18,0.8442299948774119,[0.18102194 2.85540345],63,0.8442299948774119,[0.18102194 2.85540345],36,0.8442299948774119,[0.18102194 2.85540345],36,0.8442299948774119,[0.18102194 2.85540345],30,0.8442299948774119,[0.18102194 2.85540345],51,0.8442299948774119,[0.18102194 2.85540345],30
graphs/new/nodes_11/depth_3//20.gml,0.7713126606458761,[1.76279879 0.50529132],45.0,0.7713126611938225,[-1.76279091 -0.50534003],45,0.7713126611938343,[-1.76279084  2.63625275],66,0.7713126611938346,[1.76279083 2.07613638],36,0.7713126611938346,[1.76279083 2.07613638],24,0.7713126611938346,[1.76279083 2.07613638],39,0.7713126611938346,[1.76279083 2.07613638],27,0.7713126611938346,[1.76279083 2.07613638],39,0.7713126611938346,[1.76279083 2.07613638],24,0.7713126611938383,[-1.37880184  2.07613614],39
graphs/new/nodes_11/depth_3//21.gml,0.8494477935668137,[-2.97807986  1.30734324],35.0,0.8494478102275231,[-0.16350647  3.40515069],42,0.8494478102275231,[-0.16350647  3.40515069],42,0.8494478102275231,[-0.16350647  3.40515069],36,0.8494478102275231,[-0.16350647  3.40515069],42,0.8494478102275231,[-0.16350647  3.40515069],39,0.8494478102275231,[-0.16350647  3.40515069],30,0.8494478102275231,[-0.16350647  3.40515069],33,0.8494478102275231,[-0.16350647  3.40515069],45,0.8494478102275231,[-0.16350647  3.40515069],36
graphs/new/nodes_11/depth_3//22.gml,0.727272726724665,[-0.78548239 -2.55517582],30.0,0.7780502143439894,[-1.79064058 -1.1677454 ],36,0.7780502143439894,[-1.79064058 -1.1677454 ],15,0.8506698922605309,[-0.19089284 -2.84912996],36,0.8506698922605309,[-0.19089284 -2.84912996],96,0.8506698922605309,[-0.19089284 -2.84912996],24,0.8506698922605309,[-0.19089284 -2.84912996],24,0.8506698922605309,[-0.19089284 -2.84912996],60,0.8506698922605309,[-0.19089284 -2.84912996],21,0.8506698922605309,[-0.19089284 -2.84912996],24
