,GQAOA
0,160.99999999989726
1,166.9999999998931
2,160.9999999998261
3,164.99999999975435
4,163.99999999979715
5,167.999999999782
6,160.99999999978905
7,161.99999999981367
8,161.99999999980636
9,161.9999999998327
