,GQAOA
0,159.99999999982836
1,159.99999999982475
2,172.99999999987668
3,164.9999999997967
4,167.99999999986
5,159.9999999999006
6,159.99999999987392
7,163.99999999982546
8,161.9999999998593
9,160.99999999982413
