,GQAOA
0,328.9999999997497
1,329.9999999996876
2,325.9999999997393
3,321.9999999997955
4,321.99999999979707
5,329.99999999977524
6,329.999999999742
7,325.99999999972016
8,323.9999999997753
9,338.99999999987926
