,GQAOA
0,812.999999999577
1,821.9999999984497
2,816.9999999995506
3,808.9999999991481
4,808.9999999988793
5,816.9999999991512
6,818.9999999993687
7,828.999999999392
8,811.9999999993588
9,815.999999999135
