path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev,p_6,p_6_nfev,p_7,p_7_nfev,p_8,p_8_nfev
graphs/main/nodes_9/depth_3/414.gml,[-0.78539817 -0.4556164 ],[ 0.2053022  -0.33339583 -1.2352221   0.12727764],[ 0.2053022  -0.33339583 -1.2352221   0.12727764  0.          0.        ],[ 0.20437665  1.39398683 -0.50601616 -1.31471757 -1.90901709 -0.63015294  0.00401374  0.54628246],[ 0.20437665  1.39398683 -0.50601616 -1.31471757 -1.90901709 -0.63015294  0.00401374  0.54628246  0.          0.        ],[-1.29858412 -0.17659529  1.44184564  1.08810139 -1.25563227  1.48908199 -0.26026823  0.25972363 -1.21633808 -1.13477015 -0.06976939  0.84099708],[-1.29858412 -0.17659529  1.44184564  1.08810139 -1.25563227  1.48908199 -0.26026823  0.25972363 -1.21633808 -1.13477015 -0.06976939  0.84099708  0.          0.        ],[-1.29858412 -0.17659529  1.44184564  1.08810139 -1.25563227  1.48908199 -0.26026823  0.25972363 -1.21633808 -1.13477015 -0.06976939  0.84099708  0.          0.          0.          0.        ],0.65625,48,0.8044018509217697,225,0.8044018509217697,616,0.8425747959464921,10188,0.8425747959464921,3663,0.8869043734449281,6500,0.8869043734449281,4725,0.8869043734449281,6953
graphs/main/nodes_9/depth_3/415.gml,[-0.23756582  0.33052173],[ 0.23821409 -0.17815607 -0.55371337 -1.28900962],[ 0.23821409 -0.17815607 -0.55371337 -1.28900962  0.          0.        ],[-0.14956474 -1.06666471 -0.38943235 -0.53254981  0.06647147 -0.76042921 -2.53386847 -0.14255287],[-0.14956474 -1.06666471 -0.38943235 -0.53254981  0.06647147 -0.76042921 -2.53386847 -0.14255287  0.          0.        ],[-0.14956474 -1.06666471 -0.38943235 -0.53254981  0.06647147 -0.76042921 -2.53386847 -0.14255287  0.          0.          0.          0.        ],[-0.14956474 -1.06666471 -0.38943235 -0.53254981  0.06647147 -0.76042921 -2.53386847 -0.14255287  0.          0.          0.          0.          0.          0.        ],[ 0.15127903 -2.09524911  1.46162949 -1.50631743 -1.1961964   1.10106605  0.43124242  0.45987896  1.17958187  1.60746338  1.88813604  2.43716034 -1.13867514  0.08024416  0.48497202  0.12619434],0.784291202757984,51,0.8370344490311716,205,0.8370344490311716,1827,0.9142776828708238,14193,0.9142776828708238,5720,0.9142776828708238,1534,0.9142776828708238,7770,0.955913745906043,10030
graphs/main/nodes_9/depth_3/416.gml,[-0.22069689  0.30509698],[ 1.44650752 -1.37618847 -1.21346239 -0.29455543],[ 1.44650752 -1.37618847 -1.21346239 -0.29455543  0.          0.        ],[ 1.44650752 -1.37618847 -1.21346239 -0.29455543  0.          0.          0.          0.        ],[-1.40535113  1.38321004 -0.08310828  0.19078587  1.206743    1.18676044  0.08054103 -0.68846806 -0.42024935  0.2560837 ],[ 0.21120755 -0.16290703  1.61708904  0.71471674  0.0419662  -0.66723515  1.0812482  -1.21956293 -0.32695516 -1.30974087 -1.28913759  1.59381506],[ 0.21120755 -0.16290703  1.61708904  0.71471674  0.0419662  -0.66723515  1.0812482  -1.21956293 -0.32695516 -1.30974087 -1.28913759  1.59381506  0.          0.        ],[ 1.48219157  0.10123395 -1.34244459 -0.46035752  1.49676487  0.06564196 -1.06458826 -1.41914518 -0.1202964   0.75346945 -0.09267258  1.8159029   0.51399882 -1.76252759  0.89371418  0.01146623],0.8005193825690815,51,0.8032449157309356,285,0.8032449157309356,315,0.8032449157309356,1071,0.8990649188908525,4906,0.9041657399260088,3484,0.9041657399260088,1935,0.9367357141237879,20026
graphs/main/nodes_9/depth_3/417.gml,[-0.24790529 -1.24136138],[ 2.94291374  2.01605696 -0.37209316 -1.29246227],[-0.23550043 -0.55280439  0.06869508 -0.71736551  0.545805   -0.19989418],[ 0.22927289  1.40021146  1.51661024 -1.62015975  1.03108662 -2.02077402  0.09241349 -0.80395462],[ 0.22927289  1.40021146  1.51661024 -1.62015975  1.03108662 -2.02077402  0.09241349 -0.80395462  0.          0.        ],[ 1.41267806 -1.03461099  0.04879063 -0.73864746 -1.2281949   1.03693719  1.51354255 -0.12026578 -1.14087954  1.3378301  -0.57401936  0.16458252],[ 1.41267806 -1.03461099  0.04879063 -0.73864746 -1.2281949   1.03693719  1.51354255 -0.12026578 -1.14087954  1.3378301  -0.57401936  0.16458252  0.          0.        ],[ 1.41267806 -1.03461099  0.04879063 -0.73864746 -1.2281949   1.03693719  1.51354255 -0.12026578 -1.14087954  1.3378301  -0.57401936  0.16458252  0.          0.          0.          0.        ],0.8131415366195304,51,0.8874893883040367,245,0.8938678896513826,1316,0.9006546628787272,2151,0.9006546628787272,737,0.9211675798848444,9945,0.9211675798848444,6585,0.9211675798848444,88077
graphs/main/nodes_9/depth_3/418.gml,[1.32934351 1.16588649],[-1.38726809  0.19381399  1.14570147  0.2554514 ],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259  0.          0.        ],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259  0.          0.          0.          0.        ],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259  0.          0.          0.          0.          0.          0.        ],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259  0.          0.          0.          0.          0.          0.          0.          0.        ],[ 0.13766422  1.16200886  0.29475437 -1.84677841  0.37274757 -1.74740259  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.785176412350372,40,0.8560611930276945,405,0.919163203749154,336,0.919163203749154,4419,0.919163203749154,10824,0.919163203749154,6890,0.919163203749154,2790,0.919163203749154,3145
graphs/main/nodes_9/depth_3/419.gml,[ 0.19403796 -1.85257105],[ 0.19403796 -1.85257105  0.          0.        ],[-0.22226418 -0.66847143  0.04773435  0.93317254  0.65517833  1.40332987],[-0.22226418 -0.66847143  0.04773435  0.93317254  0.65517833  1.40332987  0.          0.        ],[-0.22226418 -0.66847143  0.04773435  0.93317254  0.65517833  1.40332987  0.          0.          0.          0.        ],[-0.22226418 -0.66847143  0.04773435  0.93317254  0.65517833  1.40332987  0.          0.          0.          0.          0.          0.        ],[ 0.12177846 -1.99807952  0.45824125 -1.4345997  -0.1762324   0.89441922 -0.1924303   0.15390585  0.68283602 -1.04786798 -0.0459688  -0.8206901   0.48407757 -0.17655352],[ 0.12177846 -1.99807952  0.45824125 -1.4345997  -0.1762324   0.89441922 -0.1924303   0.15390585  0.68283602 -1.04786798 -0.0459688  -0.8206901   0.48407757 -0.17655352  0.          0.        ],0.8245196313372799,81,0.8245196313372799,635,0.8773638979887074,2737,0.8773638979887074,1341,0.8773638979887074,1419,0.8773638979887074,806,0.9435462200518212,7215,0.9435462200518212,9996
graphs/main/nodes_9/depth_3/420.gml,[-0.22278868 -1.26261227],[-0.20631368  1.75851348 -2.59586556  1.3298863 ],[-0.19945563  0.17807538 -0.93617083  1.49747351 -1.67071553 -0.27891439],[-0.19945563  0.17807538 -0.93617083  1.49747351 -1.67071553 -0.27891439  0.          0.        ],[-0.19945563  0.17807538 -0.93617083  1.49747351 -1.67071553 -0.27891439  0.          0.          0.          0.        ],[-1.53961706  0.9153185  -0.26723395  0.23021463  0.07673748 -0.48251156  0.4948171   1.30622989 -1.66627621  1.09885595 -0.26049034  0.20892113],[-1.25050972 -1.84390037 -0.05309075  0.35582748  0.43252083 -1.56497969  0.63011027 -1.16553767  0.47604789  0.01241355  0.58621874  0.01801879 -1.40449391  0.27599573],[ 0.18818815 -1.68494581 -0.35344572 -1.17362343  1.55630715  1.15509646  0.02302651  0.38120099 -1.83570774 -1.19210379 -0.42546186 -0.5823387   0.04788243  0.78814504  0.64214246  1.48326842],0.804900946967814,44,0.8495347136924581,240,0.8533503958406297,868,0.8533503958406297,666,0.8533503958406297,1232,0.8657782725874943,14950,0.8818146532681058,12390,0.9487444392261211,21998
graphs/main/nodes_9/depth_3/421.gml,[-2.25613029 -1.17186105],[ 1.34866097  1.37197049 -1.06038411 -1.87760564],[ 1.34866097  1.37197049 -1.06038411 -1.87760564  0.          0.        ],[0.21962146 1.36739286 1.67780245 0.02562203 0.32729322 1.60513586 0.57056798 1.81210543],[ 1.07307301  0.02039669  0.56606807  0.07314792  1.24282549  0.14317509  0.63622434  0.44692277 -0.09157946  0.81931532],[ 1.07307301  0.02039669  0.56606807  0.07314792  1.24282549  0.14317509  0.63622434  0.44692277 -0.09157946  0.81931532  0.          0.        ],[ 0.26501419  0.33800058 -0.09646149  0.64263807  0.38487201  1.1547862  -1.03491648  1.39305989  1.38140921 -0.19756749 -1.40002592  0.2272524   0.92653662  0.11877284],[-0.23730677  0.10674189  0.36675042  2.08955874 -0.11277813 -0.81833781 -0.29617342  1.97463683 -0.40292643  0.26569031 -0.9035499   1.61516811  0.50436246  1.75960422  1.17331281 -0.05070722],0.6619220417036744,52,0.8375928585913305,255,0.8375928585913305,777,0.8659556850557296,1692,0.8977055735239118,5115,0.8977055735239118,1950,0.9499650670042006,7260,0.9580591192326072,9979
graphs/main/nodes_9/depth_3/422.gml,[-0.891897    0.67454723],[ 0.20083112 -0.33154294 -1.20628961  0.12746423],[-0.22148634 -1.43066635  0.5343965  -1.08305202  3.04155565  0.70579675],[-0.22148634 -1.43066635  0.5343965  -1.08305202  3.04155565  0.70579675  0.          0.        ],[-1.74214804  1.38253823  0.13653775  1.72328846 -1.24903234  0.42398088 -0.08805021 -2.54355053  0.39266758 -1.85396547],[-1.74214804  1.38253823  0.13653775  1.72328846 -1.24903234  0.42398088 -0.08805021 -2.54355053  0.39266758 -1.85396547  0.          0.        ],[ 0.20408588  1.44341326  1.25861527 -0.25580936  1.46369608  0.48079264  1.64884401  1.73327472  1.15264405  1.05411477 -0.85087956  0.00374857  0.92517241  2.41244482],[ 1.74475833 -1.39843975  1.20917258 -1.00017911 -1.4380187   0.11698438 -1.16975902  0.01024262  0.51219769 -1.52199042 -0.12423167  1.53582509 -1.19971127  0.4900803  -0.35753813 -1.26403774],0.616923748140604,84,0.7411357612500409,145,0.8321803599047055,749,0.8321803599047055,10350,0.8548339108691061,4191,0.8548339108691061,10699,0.8880517785527485,11715,0.8915411141643657,18071
graphs/main/nodes_9/depth_3/423.gml,[0.21436777 2.836367  ],[-0.21179379 -1.2593621  -1.90549578  1.61639   ],[-1.3390615  -1.42166095 -0.21932754 -1.07560819 -1.31627534  1.2658537 ],[-1.87113606 -1.034805    1.55916647 -0.39952142  1.60193547 -0.54786276 -1.49344523  0.74639049],[-1.87113606 -1.034805    1.55916647 -0.39952142  1.60193547 -0.54786276 -1.49344523  0.74639049  0.          0.        ],[-1.87113606 -1.034805    1.55916647 -0.39952142  1.60193547 -0.54786276 -1.49344523  0.74639049  0.          0.          0.          0.        ],[-0.18233835  0.11258878  0.46134108  0.52427071 -0.06031114  0.61867984  0.38581371 -0.2135441  -0.48535489  0.0436005   1.36663636 -1.61873494 -0.48627201 -0.14203156],[-0.18233835  0.11258878  0.46134108  0.52427071 -0.06031114  0.61867984  0.38581371 -0.2135441  -0.48535489  0.0436005   1.36663636 -1.61873494 -0.48627201 -0.14203156  0.          0.        ],0.8406913108080493,126,0.8419518957339499,285,0.8478881107041666,952,0.885255055525338,2178,0.885255055525338,561,0.885255055525338,1456,0.9596270700896556,10545,0.9596270700896556,5865
