,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_12/depth_3//179.gml,0.8526306025332031,[-0.17615952  0.2828492 ],43.0,0.8526306499367791,[-0.17625964  0.28294535],33,0.852630649936796,[-2.96533309  1.28785096],33,0.852630649936796,[-2.96533309  1.28785096],33,0.852630649936796,[-2.96533309  1.28785096],45,0.852630649936796,[-2.96533309  1.28785096],33,0.852630649936796,[-2.96533309  1.28785096],165,0.852630649936796,[-2.96533309  1.28785096],45,0.852630649936796,[-2.96533309  1.28785096],147,0.8526306499367998,[-2.96533312 -3.42453803],36
graphs/new/nodes_12/depth_3//180.gml,0.8752744325710549,[-0.15958027 -1.30768175],32.0,0.8752744325710549,[-0.15958027 -1.30768175],84,0.8752744325710549,[-0.15958027 -1.30768175],57,0.8752744325710549,[-0.15958027 -1.30768175],36,0.8752744325710549,[-0.15958027 -1.30768175],36,0.8752744325710549,[-0.15958027 -1.30768175],63,0.875274482157174,[2.98209341 1.83379307],30,0.875274482157174,[2.98209341 1.83379307],36,0.875274482157174,[2.98209341 1.83379307],27,0.875274482157174,[2.98209341 1.83379307],57
graphs/new/nodes_12/depth_3//181.gml,0.7477350213217048,[-1.3805613  -2.77526442],44.0,0.7477350448237916,[1.38042814 2.77528521],24,0.7477350448237916,[1.38042814 2.77528521],15,0.7477350448237926,[-1.76116447 -0.36630737],96,0.8058148360660592,[-3.32136754  1.86003392],57,0.8058148360660592,[-3.32136754  1.86003392],63,0.8058148360660592,[-3.32136754  1.86003392],66,0.8058148360660592,[-3.32136754  1.86003392],27,0.8058148360660592,[-3.32136754  1.86003392],48,0.8058148360660592,[-3.32136754  1.86003392],36
graphs/new/nodes_12/depth_3//182.gml,0.8244713396788265,[-1.78691789  1.15100346],39.0,0.8649502655496643,[0.15854657 1.30732251],48,0.8649502655496643,[0.15854657 1.30732251],30,0.8649502655496643,[0.15854657 1.30732251],36,0.8649502655496643,[0.15854657 1.30732251],15,0.8649502655496643,[0.15854657 1.30732251],18,0.8649502655496643,[0.15854657 1.30732251],153,0.8649502655496643,[0.15854657 1.30732251],36,0.8649502655496643,[0.15854657 1.30732251],132,0.8649502655496853,[ 0.15854647 -3.40506657],57
graphs/new/nodes_12/depth_3//183.gml,0.8534189453110953,[0.20776059 1.2612657 ],34.0,0.8534189660357063,[-0.20784985  1.88034421],39,0.8534189660357063,[-0.20784985  1.88034421],36,0.8534189660357063,[-0.20784985  1.88034421],27,0.8534189660357063,[-0.20784985  1.88034421],39,0.853418966035765,[-0.20784976  1.88034438],105,0.853418966035765,[-0.20784976  1.88034438],60,0.853418966035765,[-0.20784976  1.88034438],36,0.8534189660357656,[-2.93374288 -0.30954805],84,0.8534189660357656,[-2.93374288 -0.30954805],57
graphs/new/nodes_12/depth_3//184.gml,0.8749714624007822,[-2.97375396 -1.84487849],43.0,0.8749715036753967,[-2.97386021 -0.27402158],36,0.8749715036753967,[-2.97386021 -0.27402158],33,0.8749715036753967,[-2.97386021 -0.27402158],18,0.8749715036753967,[-2.97386021 -0.27402158],18,0.8749715036754007,[ 31.58365903 -11.26959581],123,0.8749715036754007,[ 31.58365903 -11.26959581],27,0.874971503675407,[2.97386016 1.84481783],54,0.874971503675407,[2.97386016 1.84481783],30,0.874971503675407,[2.97386016 1.84481783],27
graphs/new/nodes_12/depth_3//185.gml,0.7735231595641555,[-1.7485631  -0.37408726],49.0,0.7735231683790985,[1.39309272 2.76756832],69,0.818900173359376,[-3.31015275  3.41918017],30,0.8189001733593787,[-2.97303256 -1.8483839 ],33,0.8189001733593787,[-2.97303256 -1.8483839 ],93,0.8189001733593787,[-2.97303256 -1.8483839 ],63,0.8189001733593787,[-2.97303256 -1.8483839 ],69,0.8189001733593787,[-2.97303256 -1.8483839 ],42,0.8189001733593787,[-2.97303256 -1.8483839 ],48,0.8189001733593787,[-2.97303256 -1.8483839 ],27
graphs/new/nodes_12/depth_3//186.gml,0.8463501017220735,[0.16831022 1.29455182],32.0,0.8463501017220735,[0.16831022 1.29455182],39,0.8463501017220735,[0.16831022 1.29455182],27,0.8463501093949009,[ 3.30995852 -3.41780942],48,0.8463501093949009,[ 3.30995852 -3.41780942],75,0.8463501093949009,[ 3.30995852 -3.41780942],27,0.8463501093949053,[ 2.97322678 -2.86537583],36,0.8463501093949062,[-2.97322678 -1.84701314],33,0.8463501093949088,[2.97322677 1.84701315],30,0.8463501093949088,[2.97322677 1.84701315],33
graphs/new/nodes_12/depth_3//187.gml,0.8730514200680312,[-2.97554658 -1.84116059],45.0,0.8730514264794191,[0.16609566 2.87122818],30,0.8730514264794191,[0.16609566 2.87122818],42,0.8730514264794191,[0.16609566 2.87122818],21,0.8730514264794191,[0.16609566 2.87122818],60,0.8730514264794191,[0.16609566 2.87122818],27,0.8730514264794191,[0.16609566 2.87122818],45,0.8730514264794191,[0.16609566 2.87122818],21,0.8730514264794191,[0.16609566 2.87122818],15,0.8730514264794191,[0.16609566 2.87122818],30
graphs/new/nodes_12/depth_3//188.gml,0.7135698204260652,[ 1.76326959 -1.91267394],45.0,0.7878618257978097,[-0.20228076 -1.25594807],75,0.7878618257978097,[-0.20228076 -1.25594807],33,0.7878618257978097,[-0.20228076 -1.25594807],36,0.7878618257978097,[-0.20228076 -1.25594807],33,0.7878618257978097,[-0.20228076 -1.25594807],27,0.7878618257978097,[-0.20228076 -1.25594807],84,0.7878618257978097,[-0.20228076 -1.25594807],54,0.7878618257978097,[-0.20228076 -1.25594807],54,0.7878618257978097,[-0.20228076 -1.25594807],45
graphs/new/nodes_12/depth_3//189.gml,0.7393327523711725,[1.34007828 0.39722179],42.0,0.7393327558688836,[-1.80156965  1.96795861],33,0.812891416367309,[2.9377804  3.44853826],114,0.812891416367309,[2.9377804  3.44853826],90,0.812891416367309,[2.9377804  3.44853826],78,0.812891416367309,[2.9377804  3.44853826],27,0.812891416367309,[2.9377804  3.44853826],51,0.812891416367309,[2.9377804  3.44853826],54,0.812891416367309,[2.9377804  3.44853826],81,0.812891416367309,[2.9377804  3.44853826],39
graphs/new/nodes_12/depth_3//190.gml,0.7978380730138104,[-1.78954101  2.28338306],46.0,0.8684614696506833,[2.97880787 1.83558395],63,0.8684614696506833,[2.97880787 1.83558395],15,0.8684614696506833,[2.97880787 1.83558395],54,0.8684614696506833,[2.97880787 1.83558395],78,0.8684614696506833,[2.97880787 1.83558395],48,0.8684614696506833,[2.97880787 1.83558395],63,0.8684614696506833,[2.97880787 1.83558395],18,0.8684614696506833,[2.97880787 1.83558395],63,0.8684614696506833,[2.97880787 1.83558395],42
graphs/new/nodes_12/depth_3//191.gml,0.8068911514796936,[0.19029764 2.84864686],48.0,0.8068911514796936,[0.19029764 2.84864686],63,0.8068911514796936,[0.19029764 2.84864686],30,0.8068911514796936,[0.19029764 2.84864686],60,0.8068911514796936,[0.19029764 2.84864686],30,0.8068911514796936,[0.19029764 2.84864686],48,0.8068911824485946,[-2.95141426  2.84862751],45,0.8068911824485946,[-2.95141426  2.84862751],33,0.8068911824485946,[-2.95141426  2.84862751],42,0.8068911824485946,[-2.95141426  2.84862751],33
graphs/new/nodes_12/depth_3//192.gml,0.8306954092624061,[-0.17231468  0.28233566],40.0,0.8306954489057867,[0.17241565 2.85918197],39,0.8306954489057867,[0.17241565 2.85918197],30,0.8306954489057867,[0.17241565 2.85918197],39,0.8306954489057867,[0.17241565 2.85918197],33,0.8306954489057867,[0.17241565 2.85918197],60,0.8306954489057867,[0.17241565 2.85918197],63,0.8306954489057867,[0.17241565 2.85918197],132,0.8306954489057867,[0.17241565 2.85918197],219,0.8306954489057867,[0.17241565 2.85918197],27
graphs/new/nodes_12/depth_3//193.gml,0.7590266599908437,[1.36993717 1.15046644],35.0,0.8097612303644678,[-0.18281798 -2.84622079],24,0.8097612303644678,[-0.18281798 -2.84622079],36,0.8097612303644678,[-0.18281798 -2.84622079],42,0.8097612303644678,[-0.18281798 -2.84622079],48,0.8097612303644678,[-0.18281798 -2.84622079],54,0.8097612303644702,[-3.32441059  0.29537188],39,0.8097612303644702,[-3.32441059  0.29537188],27,0.8097612303644702,[-3.32441059  0.29537188],36,0.8097612303644702,[-3.32441059  0.29537188],45
graphs/new/nodes_12/depth_3//194.gml,0.8095636220879685,[-0.17227594 -2.8633596 ],38.0,0.809563632742054,[-2.96933907 -1.84895532],75,0.809563632742054,[-2.96933907 -1.84895532],36,0.809563632742054,[-2.96933907 -1.84895532],87,0.8095636327420555,[2.96933909 0.27815898],51,0.8095636327420555,[2.96933909 0.27815898],48,0.8095636327420555,[2.96933909 0.27815898],36,0.8095636327420555,[2.96933909 0.27815898],39,0.8095636327420555,[2.96933909 0.27815898],45,0.8095636327420555,[2.96933909 0.27815898],39
graphs/new/nodes_12/depth_3//195.gml,0.7430284753759099,[1.46088463 2.80951182],65.0,0.7430284794391078,[-1.68065157 -0.33221061],45,0.7430284794391078,[-1.68065157 -0.33221061],27,0.7430284794391095,[ 1.68065148 -2.80938166],84,0.7430284794391095,[ 1.68065148 -2.80938166],63,0.7430284794391095,[ 1.68065148 -2.80938166],24,0.8371704709036978,[ 2.97010334 -1.29474047],51,0.8371704709036978,[ 2.97010334 -1.29474047],48,0.8371704709036978,[ 2.97010334 -1.29474047],30,0.8371704709036978,[ 2.97010334 -1.29474047],30
graphs/new/nodes_12/depth_3//196.gml,0.8106998980058013,[-1.78190529  0.72933821],56.0,0.8754713418832153,[ 2.98149221 -2.87847753],33,0.8754713418832153,[ 2.98149221 -2.87847753],33,0.8754713418832153,[ 2.98149221 -2.87847753],126,0.8754713418832153,[ 2.98149221 -2.87847753],27,0.8754713418832153,[ 2.98149221 -2.87847753],33,0.8754713418832153,[ 2.98149221 -2.87847753],60,0.8754713418832153,[ 2.98149221 -2.87847753],30,0.8754713418832153,[ 2.98149221 -2.87847753],60,0.8754713418832153,[ 2.98149221 -2.87847753],27
graphs/new/nodes_12/depth_3//197.gml,0.8385465941526637,[-0.17286996 -1.2924853 ],38.0,0.8385466115945454,[0.1729384  1.29243855],63,0.8385466115945454,[0.1729384  1.29243855],21,0.8385466115945454,[0.1729384  1.29243855],33,0.8385466115945465,[-2.96865422 -0.27835775],39,0.8385466115945465,[-2.96865422 -0.27835775],60,0.8385466115945465,[-2.96865422 -0.27835775],24,0.8385466115945475,[-0.1729384   1.84915406],57,0.8385466115945475,[-0.1729384   1.84915406],42,0.8385466115945475,[-0.1729384   1.84915406],24
