,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_12/depth_5//0.gml,0.7601807332955036,[-2.79032857  2.76266459],33.0,0.7601807439906828,[-0.35129485  1.94965386],30,0.760180743990701,[-6.63448023 -1.19193874],69,0.760180743990701,[-6.63448023 -1.19193874],27,0.760180743990701,[-6.63448023 -1.19193874],60,0.760180743990701,[-6.63448023 -1.19193874],30,0.760180743990701,[-6.63448023 -1.19193874],24,0.760180743990701,[-6.63448023 -1.19193874],33,0.760180743990701,[-6.63448023 -1.19193874],36,0.760180743990701,[-6.63448023 -1.19193874],39
graphs/new/nodes_12/depth_5//1.gml,0.7667821379920838,[ 0.35468436 -1.94208263],35.0,0.7667821604014029,[-2.78702007  1.19954194],45,0.7667821604014029,[-2.78702007  1.19954194],27,0.7667821604014029,[-2.78702007  1.19954194],27,0.7667821604014029,[-2.78702007  1.19954194],63,0.7667821604014029,[-2.78702007  1.19954194],33,0.7667821604014055,[2.78702005 1.94205071],33,0.7667821604014055,[2.78702005 1.94205071],39,0.7667821604014055,[2.78702005 1.94205071],45,0.7667821604014055,[2.78702005 1.94205071],36
graphs/new/nodes_12/depth_5//2.gml,0.7480052030247587,[ 0.33454738 -1.95216796],43.0,0.7480052345180044,[2.80717815 0.38137054],60,0.7480052345180189,[-0.33441453 -2.76022202],57,0.7480052345180189,[-0.33441453 -2.76022202],42,0.7480052345180189,[-0.33441453 -2.76022202],27,0.7480052345180189,[-0.33441453 -2.76022202],54,0.7480052345180189,[-0.33441453 -2.76022202],48,0.7480052345180189,[-0.33441453 -2.76022202],30,0.7480052345180189,[-0.33441453 -2.76022202],57,0.7480052345180189,[-0.33441453 -2.76022202],30
graphs/new/nodes_12/depth_5//3.gml,0.7576392474283051,[-2.79634518 -1.94672533],45.0,0.7576392689569995,[-2.7963583  -0.37603636],30,0.7576392689569995,[-2.7963583  -0.37603636],27,0.7576392689570515,[-2.79635823 -0.37603654],27,0.7576392689570551,[2.7963582 1.9468328],30,0.7576392689570551,[2.7963582 1.9468328],33,0.7576392689570558,[ 0.34523443 -1.94683283],33,0.7576392689570558,[ 0.34523443 -1.94683283],24,0.7576392689570558,[ 0.34523443 -1.94683283],42,0.7576392689570558,[ 0.34523443 -1.94683283],39
graphs/new/nodes_12/depth_5//4.gml,0.7822325252836854,[ 0.31240594 -1.93502866],35.0,0.7822325419648094,[-0.31232     1.93500141],42,0.78223254196481,[-2.82927266 -1.93500143],33,0.78223254196481,[-2.82927266 -1.93500143],21,0.78223254196481,[-2.82927266 -1.93500143],42,0.78223254196481,[-2.82927266 -1.93500143],27,0.78223254196481,[-2.82927266 -1.93500143],48,0.78223254196481,[-2.82927266 -1.93500143],24,0.78223254196481,[-2.82927266 -1.93500143],45,0.78223254196481,[-2.82927266 -1.93500143],39
graphs/new/nodes_12/depth_5//5.gml,0.7703381432244663,[-2.76835986  2.75861191],45.0,0.7703381551820864,[-6.65650334  3.52453787],36,0.7703381551820864,[-6.65650334  3.52453787],33,0.7703381551820864,[-6.65650334  3.52453787],30,0.7703381551820905,[ 2.76827462 -2.75864739],39,0.7703381551820905,[ 2.76827462 -2.75864739],24,0.7703381551820905,[ 2.76827462 -2.75864739],30,0.7703381551820905,[ 2.76827462 -2.75864739],30,0.7703381551820905,[ 2.76827462 -2.75864739],30,0.7703381551820905,[ 2.76827462 -2.75864739],39
graphs/new/nodes_12/depth_5//6.gml,0.7671567895343729,[2.78730588 1.94769909],39.0,0.7671567995504155,[-3.49583767  3.51843655],33,0.7671567995504186,[-2.78734766 -0.37684386],42,0.7671567995504186,[-2.78734766 -0.37684386],66,0.7671567995504186,[-2.78734766 -0.37684386],30,0.7671567995504193,[ 0.35424498 -0.37684388],27,0.7671567995504193,[ 0.35424498 -0.37684388],30,0.7671567995504193,[ 0.35424498 -0.37684388],33,0.7671567995504193,[ 0.35424498 -0.37684388],33,0.7671567995504193,[ 0.35424498 -0.37684388],27
graphs/new/nodes_12/depth_5//7.gml,0.7991732975236393,[-2.81469861  2.77882185],42.0,0.7991733274773027,[0.32695192 1.20813867],36,0.7991733274773027,[0.32695192 1.20813867],30,0.7991733274773027,[0.32695192 1.20813867],36,0.799173327477304,[-2.81464074 -1.93345399],42,0.799173327477305,[-2.81464074  1.20813868],30,0.799173327477305,[-2.81464074  1.20813868],30,0.799173327477305,[-2.81464074  1.20813868],54,0.799173327477305,[ 0.32695191 -0.36265762],54,0.799173327477305,[ 0.32695191 -0.36265762],30
graphs/new/nodes_12/depth_5//8.gml,0.7528531255072202,[-0.34167118 -1.19570291],49.0,0.7528531593892662,[ 0.34179778 -0.37502006],42,0.7528531593892662,[ 0.34179778 -0.37502006],33,0.7528531593892662,[ 0.34179778 -0.37502006],36,0.7528531593892662,[ 0.34179778 -0.37502006],39,0.7528531593892666,[ 0.34179776 -3.51661273],39,0.7528531593892666,[ 0.34179776 -3.51661273],30,0.7528531593892666,[ 0.34179776 -3.51661273],27,0.7528531593892666,[ 0.34179776 -3.51661273],33,0.7528531593892666,[ 0.34179776 -3.51661273],30
graphs/new/nodes_12/depth_5//9.gml,0.5629455617042783,[2.02603547 2.7489101 ],36.0,0.8026496407970177,[-0.38021984  1.96349542],27,0.8026496407970177,[-0.38021984  1.96349542],33,0.8026496407970177,[-0.38021984  1.96349542],51,0.8026496407970177,[-0.38021984  1.96349542],63,0.8026496407970177,[-0.38021984  1.96349542],123,0.8026496407970177,[-0.38021984  1.96349542],30,0.8026496407970177,[-0.38021984  1.96349542],30,0.8026496407970177,[-0.38021984  1.96349542],21,0.8026496407970177,[-0.38021984  1.96349542],27
