path,r_1,r_1_angles,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_9/depth_3//0.gml,0.7730369231905008,[ 2.23483965  1.28217017 -1.74917922  2.13364525 -0.48956864 -2.46853093  2.62141662 -2.30991561 -1.07362861  2.64378167  3.28174811 -0.7954794  -1.21831353  1.8894958   0.92805747  2.15637716],0.7753861658740713,[-2.05725246 -1.6823625   3.57211053 -0.4888593  -2.50086356 -0.04052634  2.6120276   2.77351237  0.50892776 -2.18562561  3.28857326 -1.73265298 -0.59099935 -0.68614256 -3.28627307  1.21355128],2584,0.77974226869911,[-2.12292211  1.93180811 -0.90801683 -1.79016884  1.48035444 -2.17737151 -1.54991489  1.43648257 -1.44226792 -0.64816954 -2.44972574 -0.72883848  0.81674893 -1.42807985  1.67067001 -1.79577811],1377,0.77974226869911,[-2.12292211  1.93180811 -0.90801683 -1.79016884  1.48035444 -2.17737151 -1.54991489  1.43648257 -1.44226792 -0.64816954 -2.44972574 -0.72883848  0.81674893 -1.42807985  1.67067001 -1.79577811],986,0.8753466454792833,[-3.30521757 -1.16068987  1.07010519 -0.01929669 -1.9808087  -2.28751825  2.47361194 -1.5529356  -2.46788876 -3.97123813 -2.56764558  0.24956944  1.90309721  2.44102539  0.01183779 -2.46908589],1938,0.8926377327574833,[-1.49031029  0.7340823  -0.07896466 -2.37880374 -3.22942629 -0.76722916  2.3758512  -1.53309294 -0.91029297 -2.9838011   2.63122672  1.5832755  -2.10977947  2.14563531 -0.06087437 -2.40557996],2482,0.9275891588124884,[ 2.97708073  0.12648688  0.45250581  2.02072968  2.27505022 -0.0791171   3.12916451  3.21159172  3.97109941 -3.99447043 -2.79633708 -0.24882634 -0.74345747  0.01147533 -2.0135859  -1.72876527],5180,0.9275891588124884,[ 2.97708073  0.12648688  0.45250581  2.02072968  2.27505022 -0.0791171   3.12916451  3.21159172  3.97109941 -3.99447043 -2.79633708 -0.24882634 -0.74345747  0.01147533 -2.0135859  -1.72876527],1173,0.9365921684500328,[-1.5893464   2.96414733  1.73556542 -1.69612612  2.82908026  0.32305399  1.60831801 -1.53137013 -1.84205239 -1.27130411  2.86938987  0.33240204  2.82326054 -3.01631089  0.45145313  1.43382193],2533,0.9365921684500328,[-1.5893464   2.96414733  1.73556542 -1.69612612  2.82908026  0.32305399  1.60831801 -1.53137013 -1.84205239 -1.27130411  2.86938987  0.33240204  2.82326054 -3.01631089  0.45145313  1.43382193],969
graphs/new/nodes_9/depth_3//1.gml,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],2652,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],833,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],1003,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],3706,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],1139,0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],1479,0.95212509972182,[ 0.10779072 -2.11319554  0.32221287 -0.11709041 -0.65559146 -3.44530131 -2.94232476  1.12799207 -3.07542251  0.43642641 -3.25673479  2.22995591 -0.62679789  0.95701465  3.18417049 -0.79742756],2924,0.95212509972182,[ 0.10779072 -2.11319554  0.32221287 -0.11709041 -0.65559146 -3.44530131 -2.94232476  1.12799207 -3.07542251  0.43642641 -3.25673479  2.22995591 -0.62679789  0.95701465  3.18417049 -0.79742756],4046,0.95212509972182,[ 0.10779072 -2.11319554  0.32221287 -0.11709041 -0.65559146 -3.44530131 -2.94232476  1.12799207 -3.07542251  0.43642641 -3.25673479  2.22995591 -0.62679789  0.95701465  3.18417049 -0.79742756],1717
graphs/new/nodes_9/depth_3//2.gml,0.94547448128879,[-1.80901273  1.34671804  3.28116308  0.90283499  1.25116301  2.86699588  3.31380501 -2.37738739  1.35137264  1.81480293  3.46803528  1.60037502 -1.57447285  0.77625778 -0.08954774  2.21036756],0.94547448128879,[-1.80901273  1.34671804  3.28116308  0.90283499  1.25116301  2.86699588  3.31380501 -2.37738739  1.35137264  1.81480293  3.46803528  1.60037502 -1.57447285  0.77625778 -0.08954774  2.21036756],1938,0.9461920928613482,[ 2.92364577  1.70788185  0.5156156  -2.59643004  1.56393158 -0.42629445 -3.47002238  3.07324293 -2.86198533 -0.46685236  3.07093911 -0.64465637 -1.6063464  -2.53400006  0.48656921 -3.33296609],2992,0.9461920928613482,[ 2.92364577  1.70788185  0.5156156  -2.59643004  1.56393158 -0.42629445 -3.47002238  3.07324293 -2.86198533 -0.46685236  3.07093911 -0.64465637 -1.6063464  -2.53400006  0.48656921 -3.33296609],2057,0.9470717339696828,[-1.79603818  0.10745011 -0.21365523 -1.59389764  3.6483292   2.60430824 -1.41069224 -2.20434835  0.32957894  1.42693126 -0.46158888 -1.23230064  1.76721601 -1.65124793 -2.21121136 -1.41112941],2295,0.9489037059412324,[-0.15156824  2.00091919 -1.39848764  1.79914633 -2.04351677 -1.47501038 -1.21455027 -2.20684506  0.17503553 -0.54158771 -1.3896741  -1.81046765  1.82366576  2.97810276  2.47929549  0.11840172],3077,0.9489037059412324,[-0.15156824  2.00091919 -1.39848764  1.79914633 -2.04351677 -1.47501038 -1.21455027 -2.20684506  0.17503553 -0.54158771 -1.3896741  -1.81046765  1.82366576  2.97810276  2.47929549  0.11840172],731,0.9506829058674964,[ 1.35259415 -1.77570089 -1.53860301  0.30038452  1.72590197  1.08974063  0.18309348 -0.22980225  1.11692346  1.69179444 -2.61809618 -0.26634473  0.9211471   1.51655184  2.64347683 -0.19340322],2261,0.9548794696617916,[ 1.30440892  1.67634686 -1.98542364 -1.58291206  0.86291229 -3.76209255  1.73125053  2.96841593 -1.8796753   0.15987168 -2.50441609 -1.08670335  3.0728984  -0.69392996 -3.66861361  0.10126394],4318,0.9695432720695171,[-3.43617342 -1.55149669 -2.73134058 -3.73160863 -2.81410643 -0.08516885 -0.42672588  0.37282471 -0.32279448 -4.39276435 -3.55661511  1.01768569  0.04318184  0.82562617  2.66616792  1.68725277],5831
graphs/new/nodes_9/depth_3//3.gml,0.8623046041070926,[ 1.27802356 -0.13773237 -1.57528367  0.98956173 -0.06237684  1.81397492 -1.3987908   0.89860965  0.55504065  1.61983339  0.24589208 -2.37627183 -1.57078446 -3.86030685  0.48435778  0.15355121],0.8733429051838812,[-0.18298552 -2.68960905  1.17758092 -1.69797434 -0.55033937 -0.48004215  0.33610405  0.0398075  -0.35972789 -1.08804896 -0.91036066 -1.24831982  1.46854735 -1.42250578 -3.33826872 -1.59553563],2924,0.8733429051838812,[-0.18298552 -2.68960905  1.17758092 -1.69797434 -0.55033937 -0.48004215  0.33610405  0.0398075  -0.35972789 -1.08804896 -0.91036066 -1.24831982  1.46854735 -1.42250578 -3.33826872 -1.59553563],2040,0.8733429051838812,[-0.18298552 -2.68960905  1.17758092 -1.69797434 -0.55033937 -0.48004215  0.33610405  0.0398075  -0.35972789 -1.08804896 -0.91036066 -1.24831982  1.46854735 -1.42250578 -3.33826872 -1.59553563],2805,0.90116469345465,[ 3.28133873  1.13201962  1.14288902  1.57678256  0.26988525 -3.16542976  2.09789271  1.97085125  1.49364058  0.78021704  2.99963503 -1.54342971 -1.63260022  0.85852781 -1.5964811  -0.8371793 ],2822,0.90116469345465,[ 3.28133873  1.13201962  1.14288902  1.57678256  0.26988525 -3.16542976  2.09789271  1.97085125  1.49364058  0.78021704  2.99963503 -1.54342971 -1.63260022  0.85852781 -1.5964811  -0.8371793 ],2975,0.924581899431075,[ 2.93923962 -1.43958324  1.57471633  1.18707592 -2.76663283  4.67584942 -0.4163833  -0.81471193  3.12298941  1.18960171 -1.04688679 -1.10260853  3.0650911   0.61458367 -2.76686026  1.33823964],4063,0.924581899431075,[ 2.93923962 -1.43958324  1.57471633  1.18707592 -2.76663283  4.67584942 -0.4163833  -0.81471193  3.12298941  1.18960171 -1.04688679 -1.10260853  3.0650911   0.61458367 -2.76686026  1.33823964],884,0.924581899431075,[ 2.93923962 -1.43958324  1.57471633  1.18707592 -2.76663283  4.67584942 -0.4163833  -0.81471193  3.12298941  1.18960171 -1.04688679 -1.10260853  3.0650911   0.61458367 -2.76686026  1.33823964],1360,0.924581899431075,[ 2.93923962 -1.43958324  1.57471633  1.18707592 -2.76663283  4.67584942 -0.4163833  -0.81471193  3.12298941  1.18960171 -1.04688679 -1.10260853  3.0650911   0.61458367 -2.76686026  1.33823964],4352
graphs/new/nodes_9/depth_3//4.gml,0.9171858727785496,[-1.66733134 -2.02633678 -1.77338267 -2.80122519  1.2323652   0.82200505  0.04801171  2.07436281 -2.92974595 -0.08581101  2.43985373  2.38748175  0.01378064 -0.97905214  2.61077039 -1.73237135],0.9171858727785496,[-1.66733134 -2.02633678 -1.77338267 -2.80122519  1.2323652   0.82200505  0.04801171  2.07436281 -2.92974595 -0.08581101  2.43985373  2.38748175  0.01378064 -0.97905214  2.61077039 -1.73237135],1887,0.9239433225101504,[-0.1752321  -0.98648566 -1.92486919  0.37460171 -3.08455119 -2.14664326  2.11469703  2.96364941  0.93686977 -1.76230711 -2.018512    2.85757357 -3.03446009 -2.66534075  1.85415904  0.15617612],2890,0.9239433225101504,[-0.1752321  -0.98648566 -1.92486919  0.37460171 -3.08455119 -2.14664326  2.11469703  2.96364941  0.93686977 -1.76230711 -2.018512    2.85757357 -3.03446009 -2.66534075  1.85415904  0.15617612],1479,0.9449325761852576,[ 1.08562479 -0.00320147  2.28729243  1.48062363  2.70137829  0.54826945 -0.27742761  1.73555128 -2.73071452 -0.29926114 -2.75450375 -0.14679949  1.04031047  1.51416701  2.57207873  1.44258812],2431,0.9449325761852576,[ 1.08562479 -0.00320147  2.28729243  1.48062363  2.70137829  0.54826945 -0.27742761  1.73555128 -2.73071452 -0.29926114 -2.75450375 -0.14679949  1.04031047  1.51416701  2.57207873  1.44258812],2448,0.9514797543427332,[-3.02419293  2.73102367 -1.3987665   3.36988688  1.83691173 -2.49162289 -1.79032799  1.63433176  1.73257179  2.13134935  0.45435543 -3.31765697 -2.16646244 -0.13319198 -0.53659264  1.4178819 ],2210,0.9514797543427332,[-3.02419293  2.73102367 -1.3987665   3.36988688  1.83691173 -2.49162289 -1.79032799  1.63433176  1.73257179  2.13134935  0.45435543 -3.31765697 -2.16646244 -0.13319198 -0.53659264  1.4178819 ],2550,0.9514797543427332,[-3.02419293  2.73102367 -1.3987665   3.36988688  1.83691173 -2.49162289 -1.79032799  1.63433176  1.73257179  2.13134935  0.45435543 -3.31765697 -2.16646244 -0.13319198 -0.53659264  1.4178819 ],1853,0.9514797543427332,[-3.02419293  2.73102367 -1.3987665   3.36988688  1.83691173 -2.49162289 -1.79032799  1.63433176  1.73257179  2.13134935  0.45435543 -3.31765697 -2.16646244 -0.13319198 -0.53659264  1.4178819 ],1462
graphs/new/nodes_9/depth_3//5.gml,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],3162,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],3077,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],1275,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],2040,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],1921,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],1564,0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],1258,0.9383059472153056,[-0.13380724  0.53458967 -3.47206272  1.02879647  0.06713403  2.63881602 -0.39447224  0.35397823 -1.40655165  1.60239853  0.96963318 -2.12042744  0.06320309  0.78971239 -1.69759092 -3.05704   ],2108,0.9383059472153056,[-0.13380724  0.53458967 -3.47206272  1.02879647  0.06713403  2.63881602 -0.39447224  0.35397823 -1.40655165  1.60239853  0.96963318 -2.12042744  0.06320309  0.78971239 -1.69759092 -3.05704   ],2652
graphs/new/nodes_9/depth_3//6.gml,0.9518300002227514,[ 1.51659411 -2.67347644  1.41204124 -2.67187073  2.81653932  0.16818611  1.21939803 -3.07478493 -0.72056432 -0.23144491 -0.8926768   1.99179578 -3.10864072  2.78706746  1.36748847 -0.20704045],0.9518300002227514,[ 1.51659411 -2.67347644  1.41204124 -2.67187073  2.81653932  0.16818611  1.21939803 -3.07478493 -0.72056432 -0.23144491 -0.8926768   1.99179578 -3.10864072  2.78706746  1.36748847 -0.20704045],3298,0.9518300002227514,[ 1.51659411 -2.67347644  1.41204124 -2.67187073  2.81653932  0.16818611  1.21939803 -3.07478493 -0.72056432 -0.23144491 -0.8926768   1.99179578 -3.10864072  2.78706746  1.36748847 -0.20704045],1666,0.9518300002227514,[ 1.51659411 -2.67347644  1.41204124 -2.67187073  2.81653932  0.16818611  1.21939803 -3.07478493 -0.72056432 -0.23144491 -0.8926768   1.99179578 -3.10864072  2.78706746  1.36748847 -0.20704045],1122,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],3026,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],1139,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],952,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],3026,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],2312,0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],2057
graphs/new/nodes_9/depth_3//7.gml,0.9261890295042108,[ 3.35349397  3.02392269 -1.50272122 -0.02083925 -2.15243765  1.12156982  1.9456549   3.14204427  1.26594335  2.45218606  2.75626913  3.39942989 -0.88979393  0.05101298 -2.6478177   1.74740296],0.936287651678015,[-3.3598409  -3.01877416  0.39581952 -1.1649815  -0.11176828  2.39145706  2.87933434  3.49656738 -0.43079657  2.45353639  0.04977622 -2.1727348  -2.43382074  1.54833128  1.92223319 -1.42625561],3995,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],5253,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],1938,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],2312,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],4148,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],3174,0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],1343,0.9504641295388736,[ 0.12251077  1.0572253   0.24663205 -0.38926208  0.3896261   3.40073031 -0.06377596  0.67727204 -0.06275174  1.80747566 -2.57599567  0.51891164  3.0892404  -0.80344077  0.49897866 -1.70748899],7769,0.9504641295388736,[ 0.12251077  1.0572253   0.24663205 -0.38926208  0.3896261   3.40073031 -0.06377596  0.67727204 -0.06275174  1.80747566 -2.57599567  0.51891164  3.0892404  -0.80344077  0.49897866 -1.70748899],2499
graphs/new/nodes_9/depth_3//8.gml,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],2992,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],1071,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],2244,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],3128,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],2448,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],3179,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],1037,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],2431,0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],2737
graphs/new/nodes_9/depth_3//9.gml,0.8789539361262013,[ 1.58993022  0.44943044 -3.10974449  1.72478761 -1.42470349 -2.20296153  0.26351676 -1.96487368 -0.26979982 -2.15222781  1.65926037  2.35059157  0.24904383 -2.3368002  -1.53414375 -0.71890637],0.9049563569345712,[-1.53959729  0.7190545  -1.80425658 -1.37474829  0.63316431  1.74928574 -0.2411707   2.18399752  2.89300166 -1.91046471  0.11149796 -2.41776031 -1.21771889  1.53712049  1.86790656  1.41671191],2618,0.9049563569345712,[-1.53959729  0.7190545  -1.80425658 -1.37474829  0.63316431  1.74928574 -0.2411707   2.18399752  2.89300166 -1.91046471  0.11149796 -2.41776031 -1.21771889  1.53712049  1.86790656  1.41671191],1241,0.9049563569345712,[-1.53959729  0.7190545  -1.80425658 -1.37474829  0.63316431  1.74928574 -0.2411707   2.18399752  2.89300166 -1.91046471  0.11149796 -2.41776031 -1.21771889  1.53712049  1.86790656  1.41671191],1309,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],2703,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],2397,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],2023,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],1734,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],1955,0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],2006
