path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev
graphs/main/nodes_9/depth_3/10.gml,[-1.34036522 -0.63944429],[-0.36878946 -0.57523801 -0.97934704 -0.25749395],[-0.7638965   1.01824416 -0.8883644   0.87371091  0.05061411 -0.14136653],[-1.30987403 -1.28179883  0.35702275 -1.32784925  0.98499824 -1.44087079 -1.05662858 -0.74782024],[-1.1821795   1.03513269  1.50760333 -1.41498639  0.89888525  0.28663211  1.1883164   0.45647018  0.67266044  1.05797212],[ 0.06561686  0.19530876 -1.22848891 -0.97143904  0.99220924  1.52220106  1.35238953 -1.3999088  -1.31380595 -0.94777867 -0.50154616 -0.59242416],[-1.25440096  0.6003722   0.8022828   0.84728351 -0.59622785  0.17123189  0.93783774  0.0751423   0.06080348  1.22080729  0.20952103  0.41033642 -1.50683783 -1.05450107],[ 1.33391417 -0.39013977 -0.79894662  0.6090957   0.86193366 -0.0678596   0.59558268  0.62786858 -0.93294396 -0.48303644  0.46594557  1.43856381 -0.47163316 -0.42621713 -0.28562454  1.16723281],0.7721467159776763,22
graphs/main/nodes_9/depth_3/11.gml,[0.23694463 1.22611764],[-0.76500471 -0.17460973 -1.34636215 -1.26404718],[ 0.0690972   0.95000421 -1.33154055  0.28774122  1.15537965 -0.41261501],[-0.68340779  0.85797568 -0.21472523 -1.34666793  0.55911282  0.24368749 -0.747222   -0.99760532],[ 1.16118934 -1.50142636  1.1723132  -0.80290918  0.16190239  0.26845505 -0.83146255 -0.21051345  1.02960446  0.92676587],[ 1.2616856   0.31230621  0.11934311 -1.38581594 -0.65847038  1.0049634  -0.69922992  1.11881756 -1.06110592 -0.77048672  1.43203899 -0.63339631],[-0.70671147 -1.01369495 -1.17593829 -1.21916972  1.27299403 -0.33886874  0.99870589 -1.07367201 -0.45052005  0.27923964 -1.24643512 -0.24402478 -1.2828101   0.80993609],[-0.07651141 -0.68604609  1.03251761  0.10633769  0.25480067 -1.11642895 -0.33984598  1.36985864 -0.70523533 -1.02733155  0.83229086 -1.39548149 -1.11367311  0.9194592  -1.13423714  1.11537646],0.8100166374954281,27
graphs/main/nodes_9/depth_3/12.gml,[0.19932785 1.31558722],[ 0.40656527  0.26395005  0.96771623 -1.20820099],[ 0.28057342  1.21853217  0.63495203 -1.16742166  0.14852308  0.93070582],[ 0.39876284 -0.55665312 -1.26477426  1.27525052  0.60897309 -0.58869309 -0.38734939 -0.84205931],[-0.63922205 -0.36824494 -1.50598123 -1.51065817  0.05305167  0.13262082  0.59184954  1.50499452 -1.5168136   0.01482571],[-0.05675647 -0.28275146  0.92824043 -0.00981373 -0.3988161   0.81046579  0.70903689 -0.49718414  0.85861092  0.26580252  0.35714894  0.63820901],[ 0.27010235  0.10819848 -0.8781931   1.35761496  0.96585985  0.66707005 -1.21138524 -1.50785687 -0.18491992  1.39258756  0.69433265  0.91435468  1.49792535 -1.57024047],[ 0.81786655  0.51204946  0.95087717 -0.98695433 -1.42357057 -1.27441489  0.97990004  0.58267126 -0.7802855  -1.16305091 -0.11282371  1.13905008 -1.28043126  0.84018103 -0.75723295  1.42710339],0.8543969596282098,24
graphs/main/nodes_9/depth_3/13.gml,[ 0.26336093 -0.37388239],[ 1.25166582 -1.40494107  0.58202593  0.99814583],[-0.10950261 -0.30765936  1.44256131 -0.2847461  -0.15126919  0.07812963],[-0.63565398 -0.42670959 -1.18220074 -0.76794043  0.30508337 -0.80773878 -1.2352812   1.49561174],[-0.6994607   0.71395349  0.5360172  -0.47714743  1.13905684 -0.16383558  1.04688969 -0.0788032   1.22908391  0.13491743],[-1.16223982  0.01264012  0.46938641 -0.15821696  0.98096417 -1.31175697 -0.50822699 -0.69920475 -0.06060535  0.12295665 -1.3210076  -0.08631585],[ 1.0985936  -0.6302005  -0.86246796 -1.02833762  0.55161097  1.4148411  -0.2246247   0.82454277 -1.57062507  1.04238764 -0.15049028  0.65267274  0.33533703  1.23715496],[-0.77307702 -0.4879265  -1.09209939 -0.04933498  1.51642866 -0.12594198  0.40148376 -0.23803992  1.18997912  1.29109687  1.27286092 -0.26814757 -0.02379326  0.74539511 -0.07939215 -0.77090228],0.8445018185770613,23
graphs/main/nodes_9/depth_3/14.gml,[ 0.23310472 -0.33342959],[ 0.60749043 -1.19279545 -1.33033711 -1.18559365],[-0.59478069  0.59511897 -1.26631517  0.34379502 -0.0312711   1.05051046],[-1.31948565 -0.86275951  1.38426079 -0.83581785 -0.24493463 -0.72844881 -0.708833   -0.37172315],[ 0.80348006  1.29030553 -0.226246   -0.01912487  0.06149898 -0.92360601 -1.01579661  0.184836    0.05999251 -0.6550358 ],[ 1.32711773  1.2161453   0.28704476 -0.53806664  1.07233599  0.16330402  0.41625637 -0.55145163  0.02778761  1.15781806 -0.1088221  -0.97233039],[-0.52180861  1.5211871   0.70148089  0.47042172 -1.01435457 -0.47166816 -1.27099719 -1.37859611  1.12812375 -1.34221548  0.20998121 -1.00395438  0.38458277 -0.07122518],[ 0.77575486 -0.40840875  0.27099691 -1.50704431 -0.48267563 -1.35407363  0.31027484  0.26304637 -0.87643589 -0.55460381  1.44255876 -0.57223234  0.66401056  0.40574178 -0.0692076  -0.21046969],0.7740047976612628,30
graphs/main/nodes_9/depth_3/15.gml,[ 0.17123872 -0.22008731],[-1.45280689 -0.10148416 -1.25867947 -1.09151875],[-1.13682633 -0.87819814  1.23426698  0.01119344 -0.78203185 -1.23998037],[-0.4846465   0.83509516  0.98496219 -0.34736157 -0.87938981 -0.17162853 -0.97611061  0.77024122],[-0.89116236 -0.6031817   0.57347972  0.58966519 -0.76915076 -1.24783656  1.24842914 -0.27843783 -0.56338197  0.39061837],[ 1.42600002 -1.32862206  1.34391103 -1.01829692  1.50464872 -1.43535871 -0.57649412  0.75035174  1.50596395  0.52303121 -0.5375046   0.36428732],[-0.22685016  0.42566772  1.20425933 -0.179146    1.0439589  -1.20732387 -1.49614448  1.20646587  0.74780065 -0.98757804 -0.20486843 -0.92816973  0.30867241  0.10300762],[-0.09504154  0.60926264  0.75043812 -1.55206851  0.5735369  -1.34349417 -0.55090911 -0.66085426 -0.10613713  0.73303004 -1.16634641  1.20564373 -1.17929746  0.29093034  0.00752012  0.39535232],0.8313813675087276,35
graphs/main/nodes_9/depth_3/16.gml,[0.22769044 1.2694345 ],[ 1.15490848 -0.41141844 -0.62133724  1.13743249],[-0.07623044  1.29079698 -1.4037535   1.4949721  -0.6456937  -0.76576097],[-0.63304195 -0.33306402  1.32972764 -0.71770156 -0.59436907  0.60095956  0.4115476  -0.47722405],[-0.71234943  1.35895905 -0.05734247  0.59216016 -1.46343612  0.8577663   1.10124852  1.48429239 -0.20055645  1.12894671],[-1.36970783  1.23729761 -1.42851064 -0.83713842  0.64032068  0.76939237 -0.3027535   1.53650464 -0.1354024   0.61113684 -1.42311594  1.37750523],[-1.13016467  0.65350052  1.32067945 -0.80848909  0.60987492  0.67752037 -0.88998469  1.41405299  0.68220483  0.82685028 -1.04359563 -0.52036004  0.63531991 -0.12406227],[ 0.04143884  0.04734973 -0.84850918  1.11170507  0.59386    -0.07023047  1.48856065 -0.1608192  -0.7175049  -1.13507978  0.39487543 -1.20430823 -0.43833641 -1.53054027  0.12926238  0.93240523],0.8291214722952297,44
graphs/main/nodes_9/depth_3/17.gml,[-1.34407479  0.31837652],[1.1817902  0.32884243 1.39173104 0.46476387],[ 0.5305266   0.90102178 -0.78140443  0.9658882   0.08242535  1.56901168],[-0.80594638 -1.19646897 -1.39689296 -0.93381438  0.4479189  -0.95979182  1.03259969  0.15804678],[-0.17065254  1.46019622 -0.98823016  1.23142077 -1.21041262  0.33976676  1.1086216  -1.41643404  1.11330564  0.44457722],[ 1.24847411 -0.52232358  1.2761843   0.76268327 -0.06959512  1.17573367 -1.51833599  0.16772046  0.50533718  1.08040733 -1.03423463  0.87847828],[ 0.9011882   0.05775837  0.86969228 -1.17157238 -1.51147904 -0.80532225  0.64195101 -0.43706441 -0.9926757   0.60405843 -0.1257757   1.32855555 -0.76525857  0.24469365],[ 0.33948646 -0.37823695  0.79265684  1.07034496  1.39929204 -1.49109773  0.11332331 -0.0901378   1.4519212   0.61542119  1.11836005  0.15579339  1.24346801 -1.50980581 -1.33288493 -0.99216514],0.7879876782465487,33
graphs/main/nodes_9/depth_3/18.gml,[ 0.15512882 -0.25413032],[ 0.70226997  1.40278955  0.36342225 -0.30600941],[-1.55582813 -1.51507261  0.057782   -0.09572321  0.3051831  -0.23646641],[-0.81155172 -0.99169103 -0.82391294 -1.14488991 -1.23041499 -0.10292146  0.79258595  0.28745711],[-0.50490902 -1.15794029  1.10312567  1.16772327 -0.32991373  0.07498129  1.34672599 -1.48517618  0.60110421  1.33078904],[ 0.74059767 -1.23223497 -1.07863704 -0.19224733 -0.72459028  1.18386333  0.63755825  0.40841247  0.32730249 -1.54226653 -0.60475701  0.26791613],[-1.11394947 -0.04182816  1.37104688 -1.54623559 -1.43709445  1.49782434 -0.93066209 -0.62515761 -1.29970703 -0.31973111  1.17007784 -0.27856904 -0.10468009 -1.53436803],[ 0.54993996 -1.28974385 -1.27843268 -0.30140673 -0.09226288 -0.6958559  -1.02932199 -0.98505586 -1.01683915 -0.57299217  0.66010063  1.07462505  0.19059579  1.1697459  -1.38794645  1.13797189],0.8060034792011016,31
graphs/main/nodes_9/depth_3/19.gml,[ 1.36868542 -0.9613353 ],[ 1.3097753  -0.42104407  0.03665726 -1.32699198],[-1.52129597  0.09966679  1.18365925 -0.85214491 -0.30738073  0.0399122 ],[-0.04364699 -0.29017325  0.08999417 -0.6407849  -0.33769658 -0.57389704 -0.4623751  -1.08474231],[ 0.41419607  0.2012414   0.31542302  1.22731147  0.98062677 -1.40732857  0.73711458 -0.92298398  0.58128713  1.24726357],[ 0.78044543 -0.18072416  0.54252539 -0.64605597  1.38240935 -0.68434276  1.25902297 -1.4346325  -0.17015714 -0.47762662  1.00881667  0.71965043],[-1.43221542e+00 -2.03293925e-01  1.43956378e-01 -3.25264934e-01 -3.41380437e-01  9.19754941e-01  2.10526873e-04  3.95078337e-01 -6.69960766e-01 -1.05555195e+00  5.72440365e-01 -1.01499796e+00  1.50517534e+00  1.15254432e+00],[ 0.6321372   1.41963445  0.25867456 -1.47044035 -1.1219416   0.33475855 -0.50264923 -0.90347318 -1.23887254  0.15169909  0.2051252   0.12686747 -0.37946301  0.50564377 -0.58153772 -0.73488446],0.7609723991307613,27
