path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev
graphs/main/nodes_9/depth_3/185.gml,[-0.21915771 -1.26842715],[-1.16733938 -1.12407682 -1.16823768 -0.37560814],[ 0.98649172 -0.16078902 -0.59364482  1.14530979  0.41317125  0.37716921],[ 1.03941991  0.34589823 -0.43165558  1.49330822 -1.47796316 -0.44815479  0.44945359  0.62334247],[-0.36507479  1.00836871 -0.4994229   0.94561743  0.57597936 -0.28107489 -0.23661998 -0.24741309  0.55834351  1.37036241],[ 0.56513295 -1.05001822 -1.19698461  0.44695675 -1.16187601 -1.13880738 -1.49355284  1.06885377  1.31238313 -0.73807625 -1.29330915  1.31321231],[-1.28685784  0.7334094  -0.7133011  -1.36633414  1.24740433 -0.96013162  0.02152556  0.67886742  0.4322693  -0.50499885  0.96782713  1.35213496 -1.27737752 -1.39653308],[ 0.07659134 -0.54438606  0.42476735  0.75057417  0.47654447  0.394429   -0.90992185  1.07059791 -0.59414003 -0.88307125  1.53577446 -0.62329651 -1.26246106  0.52071028  0.53292645  0.64914735],0.8097201357152761,35
graphs/main/nodes_9/depth_3/186.gml,[-1.27140849 -0.36699824],[-0.38406691 -0.45790355 -0.92661559  1.10703537],[1.03549205 0.56733315 1.55760333 0.60030326 0.16155771 0.67076463],[ 0.50419245  1.49446132 -0.08552352  0.15780218 -1.03638462 -0.89917221 -1.43394343 -1.31723243],[ 1.06742964 -0.6819388  -0.24297299 -0.88971694 -0.07478972  0.62064594 -1.42257386  0.48868147 -0.17767946  1.30340778],[ 0.39110633  1.17674557 -0.99569554  0.8656792  -0.81244758  1.08442465 -1.14018112 -0.51583955  0.24478911 -1.03359666  0.04286868 -0.0409689 ],[-0.80020156  1.2991815   1.2874734  -0.40046418 -0.12899772 -0.33847116 -1.39432977  0.28907653 -1.33349195  1.38559745 -1.09600575 -0.81008076 -0.85938351  0.50102121],[-0.19683821 -0.53165627 -0.35359684 -0.48256776  0.12467815  1.46116934  1.01149813  1.07797093  0.75102158  1.32724659  1.45043389 -0.20549768 -0.38019223  0.92143859  0.44069054 -0.72702737],0.7849713067980956,39
graphs/main/nodes_9/depth_3/187.gml,[-1.45529188  1.26899147],[0.11604424 0.16214336 1.00051562 1.45280433],[ 1.33690506  0.93374313  0.15031101 -1.0654158  -0.31495544  0.12160856],[ 0.88590604 -0.66463038 -1.1124764   1.46681374 -0.38688972  1.08308062 -0.76181269 -0.15058263],[-0.18236275  0.24390377  0.13812176 -0.95596105 -0.83108895 -0.65355206  0.05922274 -0.81731353 -0.60846553  0.92677876],[ 0.84592626  0.44760673  1.38776128  0.18688094 -1.41776861 -0.42975865  0.42685347 -0.36209392 -1.26290865 -1.52140044 -1.37454322 -0.7175432 ],[ 0.2777935  -0.08143389  1.50533686 -0.02657027  0.65360386 -0.15170806 -0.34715133 -0.04828196 -0.38974089  0.59658248  1.23023642 -1.4165313   0.74433243 -0.94024614],[ 0.25517763 -0.82462262 -0.12597343 -0.74648905 -0.59369427 -0.06710178  1.12540213  0.71387689  1.33171002 -1.07258524 -0.78235237 -0.92384027 -0.32290229  0.64026373 -1.20253091 -0.39689979],0.8170594244433574,41
graphs/main/nodes_9/depth_3/188.gml,[-0.23761602  0.28956975],[-0.52727639  0.78039363 -0.81229903 -1.54039547],[-0.92118896 -1.42488465  0.64965563 -1.27666105  0.28568306  1.08109534],[ 0.73793001  1.24339384 -0.54905098 -1.07889218 -1.47786944 -0.13639657  0.02869764 -0.22400366],[ 0.26954881  1.00622325  1.04190865  0.9391914  -1.27332246 -1.02568288 -1.08247282 -1.53680849 -0.15630449  0.30855498],[-0.3412202  -1.09092659  0.61502896 -1.2812624  -0.15769755  0.17019096  0.52390219 -0.05984391 -1.41460371 -0.1960525  -0.11750351  1.02968578],[-0.90368459 -0.27050437 -1.46405037 -1.45788658 -1.49506246 -1.42524686 -0.72724032 -1.48024359  1.50399187  1.42964703 -0.61983967 -1.20704115  1.45880115  0.25325454],[-0.32779988 -0.34493704  0.68847652 -1.15390616  0.39006382  0.31578756  0.08400035 -0.57353226 -0.89386815 -0.73942448 -1.46921143  0.08177455  0.69025054  0.43128567 -0.17637967  0.6969048 ],0.8171661049225394,17
graphs/main/nodes_9/depth_3/189.gml,[-1.29160772  1.24202415],[-0.16022917 -0.15630304  0.04215466  0.57202551],[-0.01820013 -0.11803072  1.26443635 -0.30820418  0.52549728  0.48571726],[ 0.51349978 -1.46229377  1.47598241  0.89877276 -1.25749534 -1.32773502 -0.48778184 -0.36357403],[-0.42957628  1.17862589 -0.11645446  0.13345223  0.06175114  1.18938585  0.70574922  0.93786991 -1.1190758  -1.45720489],[-0.53821916  0.50623771 -0.65252409 -0.72850387  1.40758254 -1.51867667  1.08882995 -1.1746454   0.36286937 -1.56914676 -0.01890556  1.31205882],[ 0.46058293 -0.2405273   1.15242119  1.04417921  1.47619374  1.15022942  1.20143287 -0.91788438 -0.26140192 -1.55051798  0.22947414  0.2309293  -0.23240407  0.18786613],[ 0.71461214  0.69092732  0.57250868 -1.32663245  0.48843921 -0.07333404 -1.48256997 -0.24935657  1.24084323  0.78541187  0.22784209  0.01640034  0.75948508 -1.00613041  1.55660077  1.29510089],0.8219980319286415,25
graphs/main/nodes_9/depth_3/190.gml,[0.24633134 1.27549588],[-0.07509746  0.67760409  1.14079236  0.07761095],[-0.23282848  1.43554083  1.31753646  0.64255428 -1.22869932 -1.45001393],[ 1.50376993 -1.04432028  0.40423756  0.05124198  1.50910632  1.21726631 -1.10101016  1.33957568],[-0.58263617 -0.72189048  0.14488347 -0.57254115 -0.75794931 -0.4244597   1.42185532 -0.61105027 -1.10339244  0.37813736],[-0.91434508 -1.2091236   0.046703   -1.41220087  0.65577719  0.96819091 -0.40276898  0.83363729  0.33984613 -1.09999641 -1.50710676 -1.3314748 ],[-1.47780531  0.5336024  -0.42893541  0.35458653 -0.15483791  0.86927501 -0.49982661 -0.31229825  0.1166725  -1.27202091  1.16699405  1.55931657  0.04621247 -1.08210575],[-0.53455208 -0.47119375 -0.88253259 -1.19325768  0.62297249 -0.81872343  1.27819494  0.82539421  1.19035759  0.48334305 -1.36477792  1.50861202  1.1717196  -0.21269758 -0.52403451  0.60745843],0.8122353619439786,43
graphs/main/nodes_9/depth_3/191.gml,[-0.21601294  0.30930692],[-1.1326263   1.16010277  0.63595259 -0.8946718 ],[ 0.77216595 -1.46698842  0.40205429  0.30489057  0.78855283  0.95713797],[ 0.53185204 -1.40444584  1.00234339  0.86301639 -0.91781791  1.19634555 -1.25245608 -0.14498594],[-0.25311247  0.01624285  0.35453295 -0.95894084 -1.13173903  0.86768511 -0.51772949 -1.29713384 -0.63957868 -0.54605206],[ 1.11169366 -1.12158961  0.99137294 -1.47945719  0.13123839  0.66957085  0.92837136  0.38436031 -0.51597085  1.21265151 -0.62203254 -0.63415737],[ 0.0750467   1.42190411  0.86207565 -0.29644115  1.04907864 -0.44454861 -1.36517067 -0.74514607 -0.21750992 -1.39605329 -1.37308912  1.51580285 -0.24433206 -1.11444058],[-1.3146055   0.28843512 -0.22280395  0.81975863  0.47857282 -0.47160306  0.66580183  1.47232963 -1.52475287  0.56108194 -0.28724937 -0.80600589  0.96160182 -1.03414789 -1.1971193   0.86569935],0.8448637219905604,68
graphs/main/nodes_9/depth_3/192.gml,[ 1.22015617 -1.14062015],[ 0.37869852 -1.03405395 -0.41896019 -0.17059133],[ 0.56370334 -0.30989628 -0.62903577 -0.33346296  0.91364035 -0.67847095],[ 1.2572171  -0.26935705 -0.67732076  0.22532155 -0.36362319  0.74749527 -0.64465966  0.5438207 ],[ 0.4032121  -0.44073804  0.31165768  0.03691097 -0.79551388  1.06299718  1.57067281 -0.57602301 -0.50302893  0.03512797],[-1.27297688  1.42715376  1.55619804 -0.04671307  0.4084686  -0.62021725  0.47081953  0.49604053 -0.8060404  -0.1990449   0.35724845 -0.29740522],[-0.08546335  1.35502845 -1.55361051  1.39521834 -0.15244357 -1.46832606  0.36248105 -0.8346218  -0.83100373  0.92448349 -0.74517782 -0.89015093  0.71083052 -1.46112108],[-0.16889361 -0.00879576  0.60386923 -1.34336281 -1.25267899  0.04052121 -1.5623164  -0.69933703 -0.27603536  1.0919181  -1.06327487 -0.67565668  0.10461938 -0.77690904 -1.36477934 -0.10895763],0.6721105781210737,36
graphs/main/nodes_9/depth_3/193.gml,[-0.23368383 -1.19132776],[ 0.94952107  1.34948892 -0.09649187 -0.60268948],[-1.44039668 -0.35465242 -0.42740281  0.71240451  0.37574624  0.07992366],[ 1.50452584  1.06234834  0.18608681 -0.55954417 -0.19836245  0.7652559   0.73734883 -0.84762529],[-1.25609502  1.50789196  0.97938148  1.43888473  0.25862282 -1.22748023  1.42415155 -0.23590455  0.32057957  0.91434909],[-1.02148762  1.07666948  0.68169092 -0.64667737  0.34622006  0.42388441 -0.12498089  0.03428397 -0.04451324  0.27367812 -0.25870951 -0.46059956],[-1.34081986  1.43451044  1.0073577  -0.09671279  0.15639677 -0.08853392  1.40731011 -0.02924628  0.06500541  0.58929208 -0.10798955 -0.39407441  1.45628871  1.53038876],[ 1.53157445  0.7933039  -1.14236894 -1.47986508 -0.06798965 -0.9653883   1.56845799 -0.64444875  1.56363576  0.17215655 -1.48060665 -1.14546574  0.82252179 -0.98521994 -0.38428944  0.43269932],0.7537970583427221,22
graphs/main/nodes_9/depth_3/194.gml,[1.29292824 0.40328624],[-0.64673945 -0.41131253  0.59717265  0.02539522],[ 1.39591944  0.55725077  1.41680991 -0.87581389  1.39066318 -0.59270887],[ 1.47101917  1.43873534  1.46925056  0.05864085 -0.82855074  0.52779176 -1.49696396 -1.12820053],[ 0.66646689  0.67250143 -0.70613351 -0.24904433  0.9387924  -0.62420983 -0.04433513  1.21569882  0.581967   -0.86986644],[ 1.08735002  1.41871142 -0.02563207 -0.3151152  -1.33167146  0.53543191 -1.327813   -0.16799165 -0.571918   -1.49479226  0.55287019  0.08010009],[-1.32614225 -0.84356435 -0.07306341  1.16501867  0.21123541  1.56929721  0.80840936 -1.38479994  0.90047215  1.28797662  0.56795914 -0.72200185  0.51957076  1.12738987],[ 1.10469968e+00  1.22572071e+00  1.52747342e+00  1.28878369e+00  7.53527710e-01 -9.51306136e-04 -1.39779655e+00 -9.61875494e-01  6.70163354e-01 -1.04279392e+00  9.54029933e-01  3.39062844e-01  4.69051346e-01  7.82458872e-02 -1.51828157e+00  1.30853209e-03],0.7707085583542602,34
graphs/main/nodes_9/depth_3/195.gml,[1.30373397 0.34833656],[-0.1822631   0.34290889 -0.26924652 -0.32369991],[-0.70537124  0.21317455  1.06628494  0.76982987  0.05319818 -0.067164  ],[-1.15233577  0.43854196 -0.75825682  1.29388315 -1.09528996 -0.14225021 -0.48135399 -1.54223647],[-0.01716104  0.55531381  0.06254106 -0.81271927 -0.20687067 -0.81727972  0.42016096  0.05824472 -0.06902768  0.90280101],[ 0.67508108 -0.86513267  0.12164448 -0.71396437  0.14787259  0.0944847  -0.00649693  0.4705857   1.06907433 -0.45145645 -1.24930701 -0.31868302],[-1.00558286  0.38442181 -0.83203547  0.07500176  0.32676518  1.11510305 -1.24200592 -1.09215063 -0.7618616   0.36597598  0.47976608  0.17385318 -1.16444155 -0.22076489],[-1.54648853 -1.19348851 -1.23589275 -1.41914872  1.21974166  0.74363543 -0.40067545 -1.42427475 -0.93137766 -0.98579636 -1.16869288 -0.44517968 -1.0361007  -1.01796809 -0.74564551 -1.53912878],0.7681648592437795,35
graphs/main/nodes_9/depth_3/196.gml,[1.27730574 0.68239482],[ 0.35182673 -1.19138009 -1.05505805 -1.0375176 ],[ 1.1382497  -1.29938122 -0.49234731  1.47471555 -1.45972031 -1.49407395],[ 0.19002183 -0.16676926  1.46942125 -0.21200564  1.1243582  -0.37087011  0.01887864 -1.02427739],[-0.54338907 -0.4645348   0.68226471  0.62533467  0.95105328  0.66071544  0.11901001  1.27489738 -0.99803295  0.63199638],[ 1.50230219  1.19662471  1.30531623 -0.98944868 -0.33256949 -0.86570172 -0.98210205  0.67859691  0.50471573  0.78174922 -0.79639183  0.40348175],[ 0.02591615 -1.02570253  0.86647559  0.46628408 -1.29018296  1.49485592  0.2687303  -0.25659488  0.8969924  -1.42167305  0.27485117 -0.60509654  0.42578857 -0.33188953],[-1.22546193  1.25166234 -0.11214075 -0.44374441  1.34407014  0.07283928 -1.39788279 -1.52998702 -0.91243276  0.33444881  0.87888531 -1.53789621 -0.53095264  1.39552501  0.7995221   1.21852209],0.7433567719037755,22
graphs/main/nodes_9/depth_3/197.gml,[ 0.23596567 -0.28169078],[-0.54190982 -1.42936876  0.88577718  1.47963175],[ 0.22950945 -1.11047517  0.34976621 -0.31745352 -1.1668161  -1.54411813],[-1.37961537 -1.35211195 -0.90321721 -0.83870005 -0.58040607 -0.90496447 -0.42663214  1.41640352],[-1.32942482 -0.08118451 -0.36918618 -0.02096444 -1.14674819  1.10153543 -0.20126674  0.058545   -1.16050291 -0.90616019],[-1.20458313 -0.65491525  0.28979787 -0.37966172 -1.56953234 -1.26736329  0.9518491   1.54972904  0.84590342 -0.49992948  0.42088666 -0.8964661 ],[-1.1977887   1.17745857 -0.47734533 -1.04070124 -0.98481849 -0.7111256  -0.96380277  1.02035107 -1.25679392 -1.17251465 -0.09403629 -0.17954347  0.4201333   1.13497355],[-0.69177856  0.81170029 -1.56069067 -1.27760587  1.40597953 -0.02867832  0.58685301  1.24122875  1.17524124  0.51567305  1.43836256  1.03687201  1.2936815  -0.29040581 -0.20678525  0.63315876],0.8610461550400383,47
graphs/main/nodes_9/depth_3/198.gml,[1.25585055 0.49409887],[ 0.804959    1.17774289  1.14242863 -0.3385208 ],[-0.1661712   1.52534364  0.01475237  0.51015283  1.46196844  0.16370146],[-1.22012579 -0.1810627   0.67060862  1.31289264  1.36654747  1.40935867  1.27262894 -0.25575691],[-1.06530684  1.24604484 -1.18037024 -1.06915232 -0.56011902 -1.25404334 -0.42693538 -0.16272195 -0.77710613 -1.45903889],[-1.37066021 -0.35179576 -0.19673302  1.44904487 -0.82889399 -0.32466653 -0.78956571  0.98298417 -0.75196307 -0.82376485 -0.08726482  1.43168472],[ 0.54004055 -0.84389203 -1.22710299  0.63615749  0.70138479 -0.31554668  0.03206937 -0.83063616 -1.3448138  -0.56610473  0.42535859 -1.15234866 -0.58460687  0.28618232],[-0.23211099 -1.52067674  0.16654642 -0.23032165 -1.31089372 -1.24796073  0.33621835  0.25767734 -1.40056691 -0.43287127 -0.94081643  0.70255718  1.38599162  0.52884189 -0.97959952 -0.71844995],0.7809776142796656,33
graphs/main/nodes_9/depth_3/199.gml,[-0.22479359  0.36184883],[ 0.28216865 -0.62247634 -0.99849399  1.31561638],[-0.87214865 -1.04579111 -1.05970514 -0.52448462  0.48682161 -0.66750452],[ 1.23649681 -0.66387783 -1.17067388  0.66257118  1.24540777  0.21311296  0.27410434 -1.2369723 ],[ 0.13261013  0.72134903  0.12097426  0.70113779 -1.08347815  0.96121456  0.01287521  1.11448922  0.25143673 -0.46177029],[-0.47235497 -1.07647434  1.38610053  0.99059014  0.37161247 -1.05886029  0.04893005  1.1703044   0.36105147  0.67798943  0.25355928 -1.52525981],[ 0.73959414  1.31121538 -0.64969807  0.73641046  0.29148712  0.83015853 -0.44933965  0.27540422  1.2396713   1.24604103 -0.48867371 -0.82939476 -1.08050473  0.24430814],[ 0.41240291 -0.24435507  1.38640297  1.54102882  1.13632087  1.34881273 -1.34673108 -0.02312695 -0.45033262 -0.00920995  0.60791505 -1.42514258 -0.56758498  0.32905554  0.49826337 -1.38322251],0.8646734261507515,31
graphs/main/nodes_9/depth_3/200.gml,[ 0.59274621 -0.32669058],[-1.41382608  0.38350987  0.83912599  0.30793411],[ 0.17822    -0.672044   -1.51883431 -1.23774176  0.21768772 -0.8983523 ],[ 0.23738127 -0.93633911 -0.91789077 -0.1515239   1.22791612 -1.33160735  0.15219426 -0.83344841],[-1.52431603 -0.51297931 -0.62295092  0.15240742  1.39902294  0.99582809  1.15104733 -0.87559309 -0.41341701  0.427932  ],[-0.61317864  0.78837358  0.9819319   0.54136023  0.53400876  1.04294527  1.15503025 -0.31664486  1.33988748  1.36000454 -0.00406154  0.93526071],[ 1.15850571 -0.82546675 -0.58391587  1.14132435  0.77182696  0.5596975  -0.97252644  1.55803009 -0.08543329 -0.84719871 -1.17181645  0.06501347  1.35698424 -1.30318159],[ 0.45290634 -0.94055338 -1.43123327  0.28402138 -1.20294469  0.88056947 -1.0626327   0.37042875 -0.7586353  -0.94016071  1.01867015  1.21383136  0.43442087 -1.34388578 -0.59716876 -0.1611605 ],0.6857145571688651,36
graphs/main/nodes_9/depth_3/201.gml,[ 1.25627087 -1.26661432],[-1.27821996  0.94502919 -0.79711529  1.37058441],[ 0.9470035  -0.89606277 -0.72247705 -0.25038801 -1.02610984  0.63850654],[ 0.959698   -0.10391358  0.25482807 -1.30825726 -0.4678193  -1.15860056 -0.77644905  1.33297433],[ 1.47348506 -1.03342895  0.73041457 -0.97569367 -0.91177654  0.74242023 -1.20912929 -0.80651099  1.35249585  0.65410904],[ 0.71944904 -1.15018637  0.93291885  0.58001103 -0.88046667  1.02185696 -0.26837344 -0.93148599  0.698419   -0.09857264  0.51937752 -1.09112904],[-0.72742466  0.56889229  1.04107497  1.40180691  1.30469958  1.41497119 -0.85197557  1.56636862  1.39045234 -0.64630047 -1.03953093  0.83269923  1.1362301   0.10717264],[-0.57668446 -0.54533525 -0.2331878   0.2315335   0.65019613  1.20656035 -0.08785266  1.0408178  -0.57713851  1.2883904   1.37192631 -0.34862858  0.97791519  0.15562835  0.15660706 -1.27068707],0.8166236823316645,28
graphs/main/nodes_9/depth_3/202.gml,[-1.57079633 -0.35143574],[-0.74574949  1.06473808  1.20407391 -1.32471845],[-0.79274677 -1.25097498 -0.53514745  0.84012613 -0.75156539 -0.83756789],[ 0.76820769  0.29493702 -0.84887942 -0.73860008  1.49349578  1.49534555 -0.63773025  1.02859929],[-1.29785381 -0.61469649  0.373522    0.17414887  1.43407189  1.02162338 -0.2830569   0.58475868 -0.78738863  0.55539223],[ 1.23337484  1.40007877  0.18674661 -0.11287156  0.21087033  0.06742246  1.52417197  1.06362364 -1.02342622  0.76046072  1.21841248 -0.74037729],[ 0.1740917   1.02886898  0.12114792  0.86200554 -1.02407735  0.29656404 -0.57574381 -1.17845906  0.4378788  -1.04746848 -0.24402751  0.84810693 -1.09300993  0.21860882],[ 0.13940491 -0.94492766 -0.28680446 -0.01350823  1.47572154 -1.39949097  0.93528154 -1.02788961  0.64678284  0.39356149 -0.9876331  -0.41611353 -0.56982768  1.48799651  0.61589989 -1.41790534],0.6923076923076928,21
graphs/main/nodes_9/depth_3/203.gml,[-0.24432827  0.33277123],[ 1.01638216 -0.40339498 -1.44956193  0.78859343],[ 1.20651481 -0.89216553  0.36999161  1.22129495 -1.54999986 -1.10546197],[-0.24994463  0.64676226 -1.42439221 -0.71222894 -1.04475874  1.2664235   0.32023706 -0.89081263],[-1.44882751  0.04051495 -0.29775396  0.93075486 -1.15271725  1.10622257 -1.51582273 -1.17891624  0.87367994  1.02972654],[-0.39641209 -0.57451103  0.64158819 -0.53949097 -0.05565207  0.31867636 -0.00740412 -0.40858403 -1.11154923 -1.44630044  1.3636249   1.0739321 ],[-1.54124054 -0.73172414 -0.109073   -0.24997652 -1.25897496  1.31537183  0.18720821 -0.37538353 -0.29727     0.53053703  0.69164175  0.12058336  0.16864673  0.71946974],[ 1.1350539   0.86808702  0.788241   -0.44495375  0.10863589  0.18060138 -1.48904306  0.25530548 -0.20980592  1.28644967 -1.38873426  0.14485068  1.17665891  1.41114642  1.16776987  1.24602845],0.8139727977732099,22
graphs/main/nodes_9/depth_3/204.gml,[-0.34889181  0.58554867],[-0.2445988   0.42448573 -0.95273371 -1.16484817],[-0.26269562 -1.48782022 -1.13369924 -0.30163628  0.53092388 -0.3397929 ],[-0.7084254   1.28303045  0.62050332 -1.00156362  1.45460317 -0.03182645  0.71784717  1.34700188],[-0.74160244  0.76738381 -1.3671939   0.83500877 -0.48226864  0.40905     0.57166939 -0.72278786  1.23034111  1.50405304],[-0.41848523 -1.36421541  0.20032861 -1.06401352  1.2688437  -0.85698924  1.15871512  0.54889102 -1.46928257  0.84372111  0.82339031 -1.33669332],[-0.02126883  0.21013351  0.45483745 -1.39665778 -1.30609487  1.33010069 -0.00581465 -1.46211908 -0.35429023 -0.35857354  0.64790115 -1.35212217  1.06649389 -0.03575797],[-0.85733134 -0.69565497  0.42495701  1.26911049 -0.77702363 -1.01753667  0.77728691  0.69479774 -0.67383648 -1.12237831  1.00651492  0.44481443 -0.07297838 -0.83037773  0.41223322 -0.71878994],0.7203300708433785,10
graphs/main/nodes_9/depth_3/205.gml,[-1.357648    1.05340461],[ 0.23615143  1.55084712 -0.51668162  0.85946443],[-0.70185775 -0.14406852  0.69620506 -0.52690075 -1.04858926 -0.01928788],[-1.26950977 -0.35177499 -1.53121213 -0.19222389 -1.48322065 -0.66445049  1.35255986 -0.50964697],[ 0.0028029   1.28708946 -1.5279069   0.05130772  0.66803195 -0.65223539 -1.39433299 -0.91567082 -1.13286567 -1.36055549],[ 0.36090314  0.91037902 -0.01385803  0.11016376 -0.03695281  1.36579944 -0.69803    -0.35801776 -0.39135573  0.22941493  0.55655827 -0.7026944 ],[-1.10686798  1.00588142 -0.36463183 -1.0269558   1.38931185 -1.00887826  0.04385668 -0.79144625 -0.23015291  0.85432243  0.21864317  0.6177633  -1.38430829  0.09564581],[-1.36336383  1.56499013  1.00662589  0.1713634   1.33360951 -1.26050198 -1.29030108  1.09970468  0.72214481  0.99384704 -0.19920279  1.35896301 -0.72416553  0.12933406  0.75147117 -0.66043836],0.6893872416959143,19
graphs/main/nodes_9/depth_3/206.gml,[ 0.35359493 -0.28423899],[1.1816352  1.01969992 0.92601735 1.52417931],[ 0.71920802  0.38708286 -0.18160127 -1.19097557  1.3440154   1.2346477 ],[-1.02064571  0.83463045 -0.95793561  0.86797073  0.65793301 -1.19831416 -0.48326548  0.44394365],[-1.04581636 -0.38155632  0.39972763  0.81019963  0.73383376 -0.00180345  1.16814216 -0.30381247 -1.5236711  -0.32873284],[-0.49496083  1.45439903  0.74274793 -0.03538962 -0.46259095 -1.21219265  1.35906569 -1.53996355  1.47182308  0.08213687 -0.35756468 -0.59681345],[ 0.12803091  1.19354434  0.84665042 -1.25784366 -0.20262591 -0.26601696 -1.04564388 -0.50448788  0.83310748  0.61772664 -1.00172965  1.11764911 -0.92284036 -0.70878493],[ 0.62005702  0.78749254 -0.09895681 -1.53139277 -0.28354031 -0.9384584  -1.24258166  0.18306589 -1.43627551  0.68442679 -0.50567976 -0.83347139 -0.11907    -0.30366389  0.43198102 -0.94643768],0.8259057615990263,33
graphs/main/nodes_9/depth_3/207.gml,[ 0.24720955 -0.3430982 ],[-0.2210902   1.43215195 -0.76615925 -0.52771399],[-0.60973338 -0.74102967 -0.25772711  0.17382536 -0.5345627   0.24212279],[-1.31341112  0.66214741  1.54818966 -1.02795224  1.08466024 -0.09191323 -1.33671648  0.42055243],[-0.31981312  0.18631816  1.23085424 -0.11313404  0.00775268 -1.250097   -0.21517246 -0.94148374  1.13378538 -0.95077456],[-0.5617906  -0.93335397  0.8843082  -0.76718807 -0.18450357  0.27107675 -0.07354622 -0.50379122  1.5478314   0.71136199  1.09603006  0.08156822],[ 0.46753438 -0.53875829  0.94384798  1.55246067  0.18744979  0.27465988  0.16211062 -0.4920325   1.24122809  1.0011023  -1.48248836  1.10790079 -0.04493584  0.23383931],[-0.12606753 -1.17972701 -1.28745659 -0.34970606  0.57663073  0.57210861  1.46052263  0.71712473 -1.36257784 -0.33151691 -0.3049897  -1.11279876 -0.07988695 -0.53370228 -0.21876107  1.09376501],0.7394025343993298,24
graphs/main/nodes_9/depth_3/208.gml,[0.23636699 1.2567988 ],[ 0.88898975  0.23926752 -1.21885077 -0.18064258],[ 0.32039482 -0.97279391 -0.82869446  0.38135788  0.56646002  0.86807666],[ 0.28651163 -0.2675928   0.38482822 -1.30385339  0.60128296 -0.55357442  0.77847707 -1.04319258],[ 0.15137051 -1.40720487  0.29235975 -0.77091515  0.51018643  0.2471083  -0.00157251  0.24707959  0.81609444 -0.30239979],[-1.21039819  1.49006242 -0.5000514   0.27999549 -0.60743779 -0.78904916 -1.30012834 -1.06600698  1.25896146 -0.78453909  0.4476658  -1.26223762],[-0.48203625  0.83377479  0.77643534  0.22929382  1.36128876 -0.06484527 -0.84598973 -1.55845301 -1.03482604 -1.41276426  0.38237073 -1.05123331 -0.93515056 -0.48587876],[ 0.72459934  0.22069814 -0.33474961 -1.14883736  1.03010315 -0.39579532 -0.29688259 -1.44967431 -0.20372034  1.51482041 -0.03814603  1.28305725 -1.31502145  0.56225241 -1.13238466  1.16993184],0.7949942373412552,36
graphs/main/nodes_9/depth_3/209.gml,[-0.25057791  0.31521007],[ 1.34582448 -1.30169592  1.34359805  0.59303971],[ 1.43003792 -1.14874134 -1.08299349 -0.47451146 -0.91776766  1.30695684],[-0.94544925  0.77449738 -0.87704009  1.02731998  0.61413475  0.14263465 -0.04215598 -1.29293936],[ 1.0418096   1.50401949  1.23800578  1.56726405  1.56393192  1.51098289 -0.94882824 -0.26813441  0.99225972 -1.07890244],[ 1.15338773 -0.80890496 -1.03033833  1.5615052   0.75056132  0.56108888  0.3755292   0.58150838 -0.53258164  0.10017478  1.06581622  0.23997343],[ 0.93097415 -0.11356068 -0.6762538  -0.65445715  0.21566415 -0.37996542 -1.23555497 -0.47855352 -0.01129698  0.9216507  -1.26972842  0.83619494  0.58407843 -0.24310873],[ 0.93466461  1.04683054 -1.12904006  0.62393645 -0.70883135 -0.12822294  0.28823709  1.35878225 -1.45536096 -0.21898535  0.99536548 -1.23837428  0.72192817 -0.41723323  0.43095232 -0.05672757],0.83548518157973,22
graphs/main/nodes_9/depth_3/210.gml,[0.22043788 1.16580809],[-1.49657873  1.16655755  0.05341168  1.20899668],[-1.24797634  0.54638835  1.06762635  0.3874694  -0.566625    0.92471736],[ 0.9852185  -0.87077334 -1.04319867  1.0702495  -0.49402903 -1.51560135 -0.90015732  0.91554902],[ 1.38492776 -0.04352433 -1.32223881 -1.18583193 -0.58388302 -0.44333008  0.42884452  0.67591939  0.97655069 -0.40605951],[ 0.55337907  1.262088   -0.71438821 -1.29299627  0.03020519 -0.36420407 -1.07884409 -0.65804061 -1.56550728 -0.09958238 -1.50026198 -1.24685101],[-0.60213034 -0.94166164 -1.47385592  1.22038545 -1.31725471  1.23100633  1.35872714 -1.44443124  1.29878371 -1.08157684 -0.07879675 -1.40445536 -1.48592178  1.47843857],[-0.73279458  0.2836629   0.22865452  1.22224223 -1.2638978  -0.81652695 -0.42255401 -0.80528396 -0.32937696  0.41307541  0.89908544  1.27600588 -0.8330876   0.75791261 -1.5320008   1.18776107],0.7563392899881435,31
