,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_12/depth_4//0.gml,0.5763708701539084,[-2.00956792  1.81094022],39.0,0.770241616147272,[-2.83478536 -1.9409492 ],30,0.770241616147272,[-2.83478536 -1.9409492 ],48,0.770241616147272,[-2.83478536 -1.9409492 ],30,0.770241616147272,[-2.83478536 -1.9409492 ],48,0.770241616147272,[-2.83478536 -1.9409492 ],51,0.770241616147272,[-2.83478536 -1.9409492 ],36,0.770241616147272,[-2.83478536 -1.9409492 ],30,0.770241616147272,[-2.83478536 -1.9409492 ],141,0.770241616147272,[-2.83478536 -1.9409492 ],27
graphs/new/nodes_12/depth_4//1.gml,0.7975986354694263,[-2.85241616  2.78117501],37.0,0.7975986481140923,[ 0.28911329 -1.93117602],33,0.7975986481140961,[-0.28911331  1.93117603],36,0.7975986481140961,[-0.28911331  1.93117603],24,0.7975986481140961,[-0.28911331  1.93117603],132,0.7975986481140961,[-0.28911331  1.93117603],51,0.7975986481140961,[-0.28911331  1.93117603],39,0.7975986481140961,[-0.28911331  1.93117603],24,0.7975986481140961,[-0.28911331  1.93117603],42,0.7975986481140961,[-0.28911331  1.93117603],30
graphs/new/nodes_12/depth_4//2.gml,0.6249401948764347,[1.84438442 1.09669118],40.0,0.8138674514707447,[0.29765924 1.19735356],48,0.8138674514707447,[0.29765924 1.19735356],30,0.8138674514707447,[0.29765924 1.19735356],24,0.8138674514707447,[0.29765924 1.19735356],57,0.8138674514707447,[0.29765924 1.19735356],27,0.8138674514707447,[0.29765924 1.19735356],30,0.8138674514707447,[0.29765924 1.19735356],66,0.8138674514707447,[0.29765924 1.19735356],24,0.8138674514707447,[0.29765924 1.19735356],36
graphs/new/nodes_12/depth_4//3.gml,0.7780670059691556,[2.85528334 0.35612285],37.0,0.7780670162503193,[0.28630704 2.78554826],36,0.7780670162503271,[2.85528557 0.35604436],54,0.7780670162503271,[2.85528557 0.35604436],36,0.7780670162503271,[2.85528557 0.35604436],51,0.7780670162503271,[2.85528557 0.35604436],36,0.7780670162503271,[2.85528557 0.35604436],120,0.7780670162503271,[2.85528557 0.35604436],30,0.7780670162503271,[2.85528557 0.35604436],87,0.7780670162503271,[2.85528557 0.35604436],33
graphs/new/nodes_12/depth_4//4.gml,0.8189242817718381,[-2.86742348  1.2180498 ],35.0,0.8189242817718381,[-2.86742348  1.2180498 ],36,0.8189242983483234,[ 0.27412217 -1.9236275 ],60,0.8189242983483234,[ 0.27412217 -1.9236275 ],36,0.8189242983483264,[ 0.2741222 -0.3528312],33,0.8189242983483264,[ 0.2741222 -0.3528312],30,0.8189242983483264,[ 0.2741222 -0.3528312],36,0.8189242983483264,[ 0.2741222 -0.3528312],33,0.8189242983483264,[ 0.2741222 -0.3528312],45,0.8189242983483264,[ 0.2741222 -0.3528312],54
graphs/new/nodes_12/depth_4//5.gml,0.6696502402987796,[ 1.20777717 -0.42906124],47.0,0.7939882572759476,[0.28806368 1.20475832],30,0.7939882572759476,[0.28806368 1.20475832],30,0.793988257275949,[ 0.28806372 -0.36603799],42,0.793988257275949,[ 0.28806372 -0.36603799],39,0.793988257275949,[ 0.28806372 -0.36603799],69,0.793988257275949,[ 0.28806372 -0.36603799],36,0.793988257275949,[ 0.28806372 -0.36603799],63,0.7939882572759492,[-0.28806371 -1.20475834],66,0.7939882572759492,[-0.28806371 -1.20475834],30
graphs/new/nodes_12/depth_4//6.gml,0.7295628693770408,[-1.93272015  0.39270326],43.0,0.7295628738202116,[ 1.93265973 -0.39269909],24,0.7295628738202135,[1.9326597  1.17809727],27,0.7295628738202135,[1.9326597  1.17809727],45,0.7295628738202135,[1.9326597  1.17809727],27,0.7295628738202135,[1.9326597  1.17809727],27,0.7295628738202135,[1.9326597  1.17809727],36,0.7295628738202135,[1.9326597  1.17809727],42,0.8167286285793959,[0.33716543 1.17809728],27,0.8167286285793959,[0.33716543 1.17809728],30
graphs/new/nodes_12/depth_4//7.gml,0.791746188464407,[-2.85362454 -1.93777247],37.0,0.7917461953324055,[-0.28796689 -1.20375676],45,0.7917461953324108,[0.28796688 2.77455311],33,0.7917461953324108,[0.28796688 2.77455311],36,0.7917461953324108,[0.28796688 2.77455311],45,0.7917461953324108,[0.28796688 2.77455311],45,0.7917461953324108,[0.28796688 2.77455311],30,0.7917461953324108,[0.28796688 2.77455311],54,0.7917461953324108,[0.28796688 2.77455311],33,0.7917461953324108,[0.28796688 2.77455311],27
graphs/new/nodes_12/depth_4//8.gml,0.7123912116424987,[-2.7968126  2.7488486],39.0,0.712391229383747,[-2.79689917 -3.53429176],87,0.712391229383747,[-2.79689917 -3.53429176],33,0.712391229383748,[-0.3446935   0.39269908],36,0.712391229383748,[-0.3446935   0.39269908],24,0.712391229383748,[-0.3446935   0.39269908],30,0.712391229383748,[-0.3446935   0.39269908],57,0.712391229383748,[-0.3446935   0.39269908],78,0.712391229383748,[-0.3446935   0.39269908],57,0.712391229383748,[-0.3446935   0.39269908],33
graphs/new/nodes_12/depth_4//9.gml,0.6605804555628944,[1.3052873  1.19028098],37.0,0.7841070502536321,[0.31630288 1.20533479],54,0.7841070502536321,[0.31630288 1.20533479],39,0.7841070502536334,[-0.31630292  0.36546157],60,0.7841070502536347,[-2.82528977  2.77613106],33,0.7841070502536347,[-2.82528977  2.77613106],30,0.7841070502536347,[-2.82528977  2.77613106],33,0.7841070502536347,[-2.82528977  2.77613106],33,0.7841070502536347,[-2.82528977  2.77613106],30,0.7841070502536347,[-2.82528977  2.77613106],45
